model_name,model_type,child_name,speaker,N,S,emp_bias,empirical,naive_predicted,accuracy
BabyLM-2026-Baseline-GPT2-Strict-Small,ar,Anne,child,356,1275,0.7506679333083641,0.37403248683838924,0.2598901007312845,0.712156862745098
BabyLM-2026-Baseline-GPT2-Strict-Small,ar,Anne,mother,698,6140,0.7256884235606692,0.5172800718510924,0.4958326253621792,0.7324104234527687
BabyLM-2026-Baseline-GPT2-Strict-Small,ar,Aran,child,411,2004,0.693101333612353,0.4150896613547655,0.35711466957987165,0.6626746506986028
BabyLM-2026-Baseline-GPT2-Strict-Small,ar,Aran,mother,1038,8432,0.7182124882806586,0.45502318483497234,0.4578183274884918,0.7189278937381404
BabyLM-2026-Baseline-GPT2-Strict-Small,ar,Becky,child,390,1564,0.7417811155600424,0.386412961363677,0.28668267743127535,0.7180306905370843
BabyLM-2026-Baseline-GPT2-Strict-Small,ar,Becky,mother,605,3754,0.742893841373251,0.44406795018282447,0.383260115281842,0.7477357485348961
BabyLM-2026-Baseline-GPT2-Strict-Small,ar,Carl,child,412,4041,0.6989819908369929,0.47541747380377164,0.5754843377760425,0.7082405345211581
BabyLM-2026-Baseline-GPT2-Strict-Small,ar,Carl,mother,512,3838,0.7150470985299655,0.4584812693136752,0.4651533495563408,0.7295466388744137
BabyLM-2026-Baseline-GPT2-Strict-Small,ar,Dominic,child,153,411,0.6740432072676489,0.2795539488461509,0.25431686800563214,0.6934306569343066
BabyLM-2026-Baseline-GPT2-Strict-Small,ar,Dominic,mother,540,4238,0.7263481643639157,0.3940833185155362,0.47018400303395236,0.7267579046720151
BabyLM-2026-Baseline-GPT2-Strict-Small,ar,Gail,child,354,1013,0.7492942554109951,0.28905300511335913,0.21532809915775694,0.7137216189536032
BabyLM-2026-Baseline-GPT2-Strict-Small,ar,Gail,mother,865,3795,0.7394304270311339,0.36627531093295,0.2826601805421837,0.7573122529644268
BabyLM-2026-Baseline-GPT2-Strict-Small,ar,Joel,child,390,1221,0.7424833918797425,0.32105410074556967,0.2326840683569588,0.7174447174447175
BabyLM-2026-Baseline-GPT2-Strict-Small,ar,Joel,mother,800,3583,0.7375636563721861,0.34682782539786317,0.29085032970750063,0.7630477253698018
BabyLM-2026-Baseline-GPT2-Strict-Small,ar,John,child,354,1912,0.6998689054691023,0.4393492371976388,0.3895270561193771,0.7243723849372385
BabyLM-2026-Baseline-GPT2-Strict-Small,ar,John,mother,732,3849,0.7249234835067068,0.40325187560172077,0.34049304501513095,0.7233047544816835
BabyLM-2026-Baseline-GPT2-Strict-Small,ar,Liz,child,331,1459,0.7355688318865469,0.4367973863039667,0.31888267513704294,0.7244688142563399
BabyLM-2026-Baseline-GPT2-Strict-Small,ar,Liz,mother,611,3177,0.733396562882348,0.40962007748520457,0.3397430837425778,0.7469310670443815
BabyLM-2026-Baseline-GPT2-Strict-Small,ar,Nicole,child,261,770,0.7056297100671511,0.3395501827359582,0.2465546220763127,0.6051948051948052
BabyLM-2026-Baseline-GPT2-Strict-Small,ar,Nicole,mother,804,4353,0.7307016919516064,0.4120225322495356,0.34187423063458167,0.7355846542614289
BabyLM-2026-Baseline-GPT2-Strict-Small,ar,Ruth,child,223,806,0.7213793603527463,0.3202835591474116,0.29172259214522445,0.6724565756823822
BabyLM-2026-Baseline-GPT2-Strict-Small,ar,Ruth,mother,692,4656,0.7224025657977384,0.44751204286090207,0.4140004588374149,0.7310996563573883
BabyLM-2026-Baseline-GPT2-Strict-Small,ar,Warren,child,433,2683,0.7063714446977282,0.4214741605100308,0.41826836123579997,0.7476705180767798
BabyLM-2026-Baseline-GPT2-Strict-Small,ar,Warren,mother,838,6159,0.7081399996326956,0.426362086973403,0.44123075162113756,0.7161876928072739
