model_name,model_type,child_name,speaker,N,S,emp_bias,empirical,naive_predicted,accuracy
BabyLM-2026-Baseline-GPT2-Strict,ar,Anne,child,356,1275,0.7275261076393954,0.36546564532385367,0.2702931909845234,0.6854901960784314
BabyLM-2026-Baseline-GPT2-Strict,ar,Anne,mother,698,6140,0.7574533472025172,0.495736187524047,0.4719896077048578,0.7213355048859935
BabyLM-2026-Baseline-GPT2-Strict,ar,Aran,child,411,2004,0.6947123442016067,0.40267099032334336,0.35642538233070753,0.659181636726547
BabyLM-2026-Baseline-GPT2-Strict,ar,Aran,mother,1038,8432,0.72471947586097,0.43841341809603007,0.45373371817033403,0.7185721062618596
BabyLM-2026-Baseline-GPT2-Strict,ar,Becky,child,390,1564,0.673361131561177,0.40967064163173644,0.3146282878656545,0.6227621483375959
BabyLM-2026-Baseline-GPT2-Strict,ar,Becky,mother,605,3754,0.7169793451824497,0.43513190375117555,0.3985564112814377,0.6877996803409696
BabyLM-2026-Baseline-GPT2-Strict,ar,Carl,child,412,4041,0.7178403900034525,0.4742486170192249,0.5628948706631433,0.7018064835436774
BabyLM-2026-Baseline-GPT2-Strict,ar,Carl,mother,512,3838,0.7115146023758686,0.4437219015003995,0.46728953344253865,0.6711829077644607
BabyLM-2026-Baseline-GPT2-Strict,ar,Dominic,child,153,411,0.656436684814059,0.28075277401107535,0.2589254858488776,0.5936739659367397
BabyLM-2026-Baseline-GPT2-Strict,ar,Dominic,mother,540,4238,0.705237074146732,0.41173623677283683,0.4833879399150838,0.6543180745634734
BabyLM-2026-Baseline-GPT2-Strict,ar,Gail,child,354,1013,0.7037468935851499,0.3161586450860477,0.23145863457140536,0.6554787759131293
BabyLM-2026-Baseline-GPT2-Strict,ar,Gail,mother,865,3795,0.7504108352952266,0.346678514194885,0.277287941634262,0.6671936758893281
BabyLM-2026-Baseline-GPT2-Strict,ar,Joel,child,390,1221,0.7258859681332174,0.3333044035985579,0.23917122151539544,0.6601146601146601
BabyLM-2026-Baseline-GPT2-Strict,ar,Joel,mother,800,3583,0.7236943389210903,0.34901970377715585,0.29729136743871176,0.6374546469439017
BabyLM-2026-Baseline-GPT2-Strict,ar,John,child,354,1912,0.7003648434668723,0.4538206406105551,0.3892886149600379,0.6736401673640168
BabyLM-2026-Baseline-GPT2-Strict,ar,John,mother,732,3849,0.748991139085391,0.39216424796644705,0.3274480729867217,0.6819953234606392
BabyLM-2026-Baseline-GPT2-Strict,ar,Liz,child,331,1459,0.7038138089175912,0.4389336716202576,0.3339501786390029,0.6593557230980124
BabyLM-2026-Baseline-GPT2-Strict,ar,Liz,mother,611,3177,0.7130798289968003,0.41429228671879414,0.3500664827000605,0.6820900220333648
BabyLM-2026-Baseline-GPT2-Strict,ar,Nicole,child,261,770,0.6901359243201846,0.34002870057433904,0.2515302146520722,0.5662337662337662
BabyLM-2026-Baseline-GPT2-Strict,ar,Nicole,mother,804,4353,0.7095017632206386,0.4036006358320626,0.35247477011839023,0.6593154146565587
BabyLM-2026-Baseline-GPT2-Strict,ar,Ruth,child,223,806,0.719948605885142,0.32520241075876816,0.29234298228146594,0.6811414392059554
BabyLM-2026-Baseline-GPT2-Strict,ar,Ruth,mother,692,4656,0.7108695608512445,0.4514266112705903,0.4205534144116693,0.6746134020618557
BabyLM-2026-Baseline-GPT2-Strict,ar,Warren,child,433,2683,0.6973739985497567,0.42782573436585575,0.42292457700609754,0.6738725307491614
BabyLM-2026-Baseline-GPT2-Strict,ar,Warren,mother,838,6159,0.7330977277273266,0.40864989826134496,0.4262113620054835,0.6890729014450397
