model_name,model_type,child_name,speaker,N,S,emp_bias,empirical,naive_predicted,accuracy
baby-llama-58m,ar,Anne,child,356,1275,0.7671619620551984,0.345525106691158,0.25168715669326464,0.8486274509803922
baby-llama-58m,ar,Anne,mother,698,6140,0.7697806942472512,0.4703289158512754,0.46156687745046987,0.8767100977198697
baby-llama-58m,ar,Aran,child,411,2004,0.7290380731786148,0.3808158004273772,0.3401074176224813,0.8163672654690619
baby-llama-58m,ar,Aran,mother,1038,8432,0.7395784851301359,0.41250242707658613,0.44382991891329526,0.872865275142315
baby-llama-58m,ar,Becky,child,390,1564,0.7444322812499861,0.37231660742958245,0.28537384504480007,0.819693094629156
baby-llama-58m,ar,Becky,mother,605,3754,0.7719942827132849,0.40245929757201243,0.36337056675607693,0.8700053276505061
baby-llama-58m,ar,Carl,child,412,4041,0.7260173407552714,0.4589347712517812,0.5569799594395968,0.8463251670378619
baby-llama-58m,ar,Carl,mother,512,3838,0.7364049511772839,0.42976686466695846,0.4512825760681633,0.8746743095362168
baby-llama-58m,ar,Dominic,child,153,411,0.7050678232204226,0.25372601117328214,0.2448454517848998,0.7226277372262774
baby-llama-58m,ar,Dominic,mother,540,4238,0.7385869063402496,0.3750060418053125,0.46177284830769577,0.877772534214252
baby-llama-58m,ar,Gail,child,354,1013,0.7806697642435981,0.2796103993480567,0.20181845547252467,0.8400789733464955
baby-llama-58m,ar,Gail,mother,865,3795,0.7767278285574618,0.32562994279660507,0.2631267972569975,0.8735177865612648
baby-llama-58m,ar,Joel,child,390,1221,0.7865190596414797,0.29138372892142705,0.21258809752343039,0.8476658476658476
baby-llama-58m,ar,Joel,mother,800,3583,0.7753684375234815,0.3092689597668883,0.2707547109973255,0.8816634105498186
baby-llama-58m,ar,John,child,354,1912,0.717679824113961,0.4177588548143829,0.380518744431233,0.8389121338912134
baby-llama-58m,ar,John,mother,732,3849,0.740608799148091,0.37720211904803963,0.33218142266661893,0.8778903611327618
baby-llama-58m,ar,Liz,child,331,1459,0.771779873365871,0.38377068092640826,0.2983005380971621,0.8498971898560658
baby-llama-58m,ar,Liz,mother,611,3177,0.7763929376576397,0.3702156813143776,0.31387402382397933,0.8659112370160529
baby-llama-58m,ar,Nicole,child,261,770,0.714942678709123,0.3362115273218093,0.24334518341779657,0.7298701298701299
baby-llama-58m,ar,Nicole,mother,804,4353,0.7685488582295397,0.3680659441114497,0.3196952816528771,0.8803124282104295
baby-llama-58m,ar,Ruth,child,223,806,0.7265419146960801,0.30449899996752017,0.2894434990438063,0.8076923076923077
baby-llama-58m,ar,Ruth,mother,692,4656,0.7408555849260828,0.40719508662490655,0.4026005620991646,0.8702749140893471
baby-llama-58m,ar,Warren,child,433,2683,0.7254915136747416,0.400353311739876,0.40753217626358323,0.8389862094670145
baby-llama-58m,ar,Warren,mother,838,6159,0.73342523864981,0.37963688974484305,0.42600000924581927,0.8756291605780159
