model_name,model_type,child_name,speaker,N,S,emp_bias,empirical,naive_predicted,accuracy
babyllama-10m-2024,ar,Anne,child,356,1275,0.7900712207491051,0.3173079080079539,0.23912419266292015,0.899607843137255
babyllama-10m-2024,ar,Anne,mother,698,6140,0.8041101830127609,0.42551608573360294,0.42867520671428494,0.9120521172638436
babyllama-10m-2024,ar,Aran,child,411,2004,0.7206593039108458,0.3603817875348589,0.3443853327808861,0.8522954091816367
babyllama-10m-2024,ar,Aran,mother,1038,8432,0.7709708864929606,0.39199381052840926,0.4200952034591558,0.8894686907020873
babyllama-10m-2024,ar,Becky,child,390,1564,0.7776642723005596,0.3411945533141538,0.2673794878331606,0.8759590792838875
babyllama-10m-2024,ar,Becky,mother,605,3754,0.8010201690998764,0.35433484103009816,0.3403486524083906,0.91848694725626
babyllama-10m-2024,ar,Carl,child,412,4041,0.7243877749449713,0.43783561790610814,0.5581814326434251,0.8715664439495174
babyllama-10m-2024,ar,Carl,mother,512,3838,0.7621427799535567,0.4038769603102101,0.432255577191947,0.902813965607087
babyllama-10m-2024,ar,Dominic,child,153,411,0.7954594945188659,0.20626288001395965,0.20621423702976294,0.8540145985401459
babyllama-10m-2024,ar,Dominic,mother,540,4238,0.7721525356059223,0.34543162267147615,0.43561296755612766,0.8924020764511562
babyllama-10m-2024,ar,Gail,child,354,1013,0.7992191866198679,0.25884189270338365,0.19280940917131736,0.8914116485686081
babyllama-10m-2024,ar,Gail,mother,865,3795,0.8065592064022129,0.29182699000274287,0.24469023786755728,0.8967061923583662
babyllama-10m-2024,ar,Joel,child,390,1221,0.8237113043731946,0.2565736866970679,0.19193991853442133,0.9033579033579033
babyllama-10m-2024,ar,Joel,mother,800,3583,0.7999646207099376,0.284447059116393,0.25549756034067106,0.9092938878035166
babyllama-10m-2024,ar,John,child,354,1912,0.7362787168025821,0.40149168796033863,0.3701001160568632,0.87081589958159
babyllama-10m-2024,ar,John,mother,732,3849,0.7749903318601457,0.35367240273203715,0.3113990746872258,0.8981553650298779
babyllama-10m-2024,ar,Liz,child,331,1459,0.7925499950366238,0.36371823213280463,0.28468468294807875,0.8923920493488691
babyllama-10m-2024,ar,Liz,mother,611,3177,0.8037938744877325,0.3335171604536944,0.29420644325699674,0.9008498583569405
babyllama-10m-2024,ar,Nicole,child,261,770,0.7671981278201588,0.3048927277498523,0.2220757373831783,0.8688311688311688
babyllama-10m-2024,ar,Nicole,mother,804,4353,0.7902614767101324,0.33508870824235343,0.30490289370029644,0.8968527452331725
babyllama-10m-2024,ar,Ruth,child,223,806,0.7505613365065741,0.29211165207072026,0.2779791439267592,0.8027295285359801
babyllama-10m-2024,ar,Ruth,mother,692,4656,0.7628171791989408,0.3856598049580872,0.38747632805944765,0.8943298969072165
babyllama-10m-2024,ar,Warren,child,433,2683,0.7436398192479496,0.3826637873727825,0.39623147893544786,0.8594856503913529
babyllama-10m-2024,ar,Warren,mother,838,6159,0.773296406076279,0.3536429185172812,0.3972901559708805,0.9061535963630459
