model_name,model_type,child_name,speaker,N,S,emp_bias,empirical,naive_predicted,accuracy
babylm-baseline-100m-gpt-bert-causal-focus,ar,Anne,child,356,1275,0.7980363528552228,0.31037382807818725,0.23441782281786808,0.9152941176470588
babylm-baseline-100m-gpt-bert-causal-focus,ar,Anne,mother,698,6140,0.8115799847077874,0.4075605736406897,0.4206947816605661,0.9399022801302932
babylm-baseline-100m-gpt-bert-causal-focus,ar,Aran,child,411,2004,0.7377557067722827,0.34180493214899504,0.33544583285628354,0.8892215568862275
babylm-baseline-100m-gpt-bert-causal-focus,ar,Aran,mother,1038,8432,0.7806949684120477,0.36254824685630505,0.41190984016564675,0.9230313092979127
babylm-baseline-100m-gpt-bert-causal-focus,ar,Becky,child,390,1564,0.7846613444318234,0.33615541558966383,0.26319609561223073,0.9002557544757033
babylm-baseline-100m-gpt-bert-causal-focus,ar,Becky,mother,605,3754,0.8084334807046447,0.3444822558698163,0.33390847287810427,0.9403303143313798
babylm-baseline-100m-gpt-bert-causal-focus,ar,Carl,child,412,4041,0.7409666937156278,0.4319160384191609,0.5454144429034178,0.8995298193516457
babylm-baseline-100m-gpt-bert-causal-focus,ar,Carl,mother,512,3838,0.7748996537519248,0.3867562039360076,0.4218141636400819,0.9346013548723293
babylm-baseline-100m-gpt-bert-causal-focus,ar,Dominic,child,153,411,0.8110252773674936,0.19756234172907752,0.19764665443633384,0.8953771289537713
babylm-baseline-100m-gpt-bert-causal-focus,ar,Dominic,mother,540,4238,0.7777608175799665,0.32259512216143377,0.4307687962705351,0.9211892402076451
babylm-baseline-100m-gpt-bert-causal-focus,ar,Gail,child,354,1013,0.813988825378889,0.23984319797397735,0.18504515193336757,0.9091806515301086
babylm-baseline-100m-gpt-bert-causal-focus,ar,Gail,mother,865,3795,0.8151905317125564,0.27960854039188526,0.238839082466917,0.9346508563899868
babylm-baseline-100m-gpt-bert-causal-focus,ar,Joel,child,390,1221,0.8369808148578401,0.2480921746707776,0.1836411206484827,0.9172809172809173
babylm-baseline-100m-gpt-bert-causal-focus,ar,Joel,mother,800,3583,0.8111490962889185,0.26065391529730175,0.2479319826720761,0.9391571308958973
babylm-baseline-100m-gpt-bert-causal-focus,ar,John,child,354,1912,0.7485343014381943,0.3890409537749473,0.3626407055310088,0.891213389121339
babylm-baseline-100m-gpt-bert-causal-focus,ar,John,mother,732,3849,0.7796915093523223,0.3464830058212772,0.3082653767710029,0.9342686412055079
babylm-baseline-100m-gpt-bert-causal-focus,ar,Liz,child,331,1459,0.8122246235958069,0.33369729643743506,0.27043786899148964,0.9218642906100069
babylm-baseline-100m-gpt-bert-causal-focus,ar,Liz,mother,611,3177,0.8154856759215768,0.3134334822024637,0.28496911625105104,0.9313818067359144
babylm-baseline-100m-gpt-bert-causal-focus,ar,Nicole,child,261,770,0.788764330289596,0.2813165217788526,0.2115395920659051,0.8896103896103896
babylm-baseline-100m-gpt-bert-causal-focus,ar,Nicole,mother,804,4353,0.8069524341100396,0.3088613777235592,0.2923968037446381,0.9356765449115553
babylm-baseline-100m-gpt-bert-causal-focus,ar,Ruth,child,223,806,0.7628836689191929,0.2839019541790164,0.2715235895914614,0.8635235732009926
babylm-baseline-100m-gpt-bert-causal-focus,ar,Ruth,mother,692,4656,0.7766133008468756,0.361561762273455,0.3770499415093702,0.9351374570446735
babylm-baseline-100m-gpt-bert-causal-focus,ar,Warren,child,433,2683,0.7521575266303688,0.3743542760421068,0.3905354324184317,0.8807305255311219
babylm-baseline-100m-gpt-bert-causal-focus,ar,Warren,mother,838,6159,0.7783807011150782,0.3417985667034951,0.39317852229598854,0.9345672998863452
