model_name,model_type,child_name,speaker,N,S,emp_bias,empirical,naive_predicted,accuracy
babylm-baseline-100m-gpt-bert-mixed,ar,Anne,child,356,1275,0.7895614411728086,0.31564080620149076,0.2394192794094123,0.9074509803921569
babylm-baseline-100m-gpt-bert-mixed,ar,Anne,mother,698,6140,0.8052686065031806,0.41713365473852515,0.4274580903610324,0.9270358306188925
babylm-baseline-100m-gpt-bert-mixed,ar,Aran,child,411,2004,0.7306870062091967,0.3524001288808728,0.33924232656668535,0.8782435129740519
babylm-baseline-100m-gpt-bert-mixed,ar,Aran,mother,1038,8432,0.7760018096604927,0.3691103385668565,0.41591214145933775,0.9142552182163188
babylm-baseline-100m-gpt-bert-mixed,ar,Becky,child,390,1564,0.7878939861930639,0.3328179580426055,0.261214384732485,0.8906649616368286
babylm-baseline-100m-gpt-bert-mixed,ar,Becky,mother,605,3754,0.8071435920944274,0.35366389947453153,0.33504635635595914,0.9336707511987213
babylm-baseline-100m-gpt-bert-mixed,ar,Carl,child,412,4041,0.7338083743605162,0.4351448293429837,0.551076253960482,0.8903736698836922
babylm-baseline-100m-gpt-bert-mixed,ar,Carl,mother,512,3838,0.7683847008154631,0.39697835589737596,0.4272340216299375,0.9174048983845753
babylm-baseline-100m-gpt-bert-mixed,ar,Dominic,child,153,411,0.8097918784485701,0.19422514228957277,0.19834894274956405,0.8880778588807786
babylm-baseline-100m-gpt-bert-mixed,ar,Dominic,mother,540,4238,0.7698972066029132,0.33381316461609595,0.43752109700118136,0.9108069844266163
babylm-baseline-100m-gpt-bert-mixed,ar,Gail,child,354,1013,0.8087972031568815,0.24507510172414881,0.18783649951308476,0.8973346495557749
babylm-baseline-100m-gpt-bert-mixed,ar,Gail,mother,865,3795,0.8100873466112123,0.28339677899568216,0.24232798478671988,0.9164690382081686
babylm-baseline-100m-gpt-bert-mixed,ar,Joel,child,390,1221,0.8303340523465377,0.2532530458134902,0.18786380650571766,0.914004914004914
babylm-baseline-100m-gpt-bert-mixed,ar,Joel,mother,800,3583,0.8082251807944192,0.2642081177538319,0.24994960027310895,0.9302260675411667
babylm-baseline-100m-gpt-bert-mixed,ar,John,child,354,1912,0.7427252496353391,0.3935345694624286,0.36623688254463277,0.8807531380753139
babylm-baseline-100m-gpt-bert-mixed,ar,John,mother,732,3849,0.7722528324770831,0.3494109254254187,0.313190151461521,0.9225772928033256
babylm-baseline-100m-gpt-bert-mixed,ar,Liz,child,331,1459,0.8005897000054005,0.35178982287389954,0.2790284020779712,0.9115832762165867
babylm-baseline-100m-gpt-bert-mixed,ar,Liz,mother,611,3177,0.8107556274749692,0.3210370566856891,0.2887704273566113,0.92036512433113
babylm-baseline-100m-gpt-bert-mixed,ar,Nicole,child,261,770,0.781729673440519,0.284862232805333,0.21509812890902089,0.8883116883116883
babylm-baseline-100m-gpt-bert-mixed,ar,Nicole,mother,804,4353,0.7968956327875273,0.32508810153775414,0.3000552037415021,0.9209740408913393
babylm-baseline-100m-gpt-bert-mixed,ar,Ruth,child,223,806,0.7555372507340414,0.28760131679495576,0.27542067907534146,0.8424317617866005
babylm-baseline-100m-gpt-bert-mixed,ar,Ruth,mother,692,4656,0.7719937060657782,0.3717282851749904,0.38062404817956924,0.9248281786941581
babylm-baseline-100m-gpt-bert-mixed,ar,Warren,child,433,2683,0.7482869165989788,0.38003548444467034,0.39315572271938265,0.8829668281774133
babylm-baseline-100m-gpt-bert-mixed,ar,Warren,mother,838,6159,0.7734241610051458,0.34850907100055933,0.3971881589236044,0.9209287221951615
