model_name,model_type,child_name,speaker,N,S,emp_bias,empirical,naive_predicted,accuracy
babylm-baseline-10m-gpt2,ar,Anne,child,356,1275,0.7524306193357732,0.3427257174501687,0.2590456241368887,0.7254901960784313
babylm-baseline-10m-gpt2,ar,Anne,mother,698,6140,0.7194991939603625,0.4996857166019243,0.5000048804443159,0.6824104234527687
babylm-baseline-10m-gpt2,ar,Aran,child,411,2004,0.717586226259005,0.3904910648895244,0.3459055977312737,0.6651696606786427
babylm-baseline-10m-gpt2,ar,Aran,mother,1038,8432,0.7232198951058074,0.4388363185516427,0.45468842726211944,0.6714895635673624
babylm-baseline-10m-gpt2,ar,Becky,child,390,1564,0.7641104194058499,0.35895544122562795,0.2750830834463526,0.7589514066496164
babylm-baseline-10m-gpt2,ar,Becky,mother,605,3754,0.7517784959771089,0.4195616342261094,0.3775046233306145,0.7226957911561002
babylm-baseline-10m-gpt2,ar,Carl,child,412,4041,0.6874312875402424,0.4532800896214146,0.5825023014226206,0.6542934917099728
babylm-baseline-10m-gpt2,ar,Carl,mother,512,3838,0.7279858277826033,0.4379195234181855,0.4569496789400329,0.7003647733194373
babylm-baseline-10m-gpt2,ar,Dominic,child,153,411,0.7441424883073015,0.24250544892916345,0.23029711967785418,0.7956204379562044
babylm-baseline-10m-gpt2,ar,Dominic,mother,540,4238,0.7327703019494661,0.3857146736074203,0.465841782200581,0.6868806040585181
babylm-baseline-10m-gpt2,ar,Gail,child,354,1013,0.7805366834829075,0.2705121084630648,0.20188023908839686,0.7097729516288253
babylm-baseline-10m-gpt2,ar,Gail,mother,865,3795,0.7355415310455116,0.360144736423302,0.28449051890236676,0.7346508563899868
babylm-baseline-10m-gpt2,ar,Joel,child,390,1221,0.7727701247646017,0.2868384378209425,0.21933612912208714,0.7682227682227682
babylm-baseline-10m-gpt2,ar,Joel,mother,800,3583,0.7547581157164525,0.32847052420341555,0.282186737317762,0.7605358638012838
babylm-baseline-10m-gpt2,ar,John,child,354,1912,0.729285310407029,0.4094606235896161,0.3741425278526149,0.6888075313807531
babylm-baseline-10m-gpt2,ar,John,mother,732,3849,0.7192499991679775,0.39361941156501346,0.3433296505445103,0.6822551312029098
babylm-baseline-10m-gpt2,ar,Liz,child,331,1459,0.7790163678050024,0.4023286809193306,0.293714887461738,0.7347498286497601
babylm-baseline-10m-gpt2,ar,Liz,mother,611,3177,0.7659452689465637,0.3857680003963197,0.32069327223434135,0.7403210576015109
babylm-baseline-10m-gpt2,ar,Nicole,child,261,770,0.7487994572852571,0.3034991073465478,0.23022251635186008,0.7740259740259741
babylm-baseline-10m-gpt2,ar,Nicole,mother,804,4353,0.7607096249863711,0.3889560890166934,0.3246515971081636,0.7146795313576844
babylm-baseline-10m-gpt2,ar,Ruth,child,223,806,0.6948727166125274,0.3130058528666262,0.30244625401812913,0.6985111662531017
babylm-baseline-10m-gpt2,ar,Ruth,mother,692,4656,0.7305941108520538,0.4364893690173507,0.4090818646390281,0.7021048109965635
babylm-baseline-10m-gpt2,ar,Warren,child,433,2683,0.7122450171680371,0.40366345962132505,0.4150938216812565,0.7279165113678718
babylm-baseline-10m-gpt2,ar,Warren,mother,838,6159,0.7115891688789131,0.41176051086140525,0.43927984716414675,0.6692644909887969
