model_name,model_type,child_name,speaker,N,S,emp_bias,empirical,naive_predicted,accuracy
gpt2,ar,Anne,child,356,1275,0.7712926288053226,0.3438681542563112,0.24952502743865204,0.847843137254902
gpt2,ar,Anne,mother,698,6140,0.7731824750859585,0.4567305794040856,0.45856770499422883,0.8833876221498371
gpt2,ar,Aran,child,411,2004,0.7271392701194531,0.37240340245178327,0.3410940854886781,0.8398203592814372
gpt2,ar,Aran,mother,1038,8432,0.7527333956175684,0.39121278968349293,0.43436505002584525,0.8876897533206831
gpt2,ar,Becky,child,390,1564,0.7577044670577675,0.373846707381066,0.27854655991377425,0.84846547314578
gpt2,ar,Becky,mother,605,3754,0.7783645679493773,0.3950105159507053,0.3586037967962311,0.8830580713905167
gpt2,ar,Carl,child,412,4041,0.7182016904352875,0.45908038250026173,0.5626394815950945,0.8554813165058154
gpt2,ar,Carl,mother,512,3838,0.7371671598488159,0.4388250562782243,0.4507563805226964,0.8725898905680042
gpt2,ar,Dominic,child,153,411,0.7524679754258875,0.22228125849040625,0.2267933113894262,0.7980535279805353
gpt2,ar,Dominic,mother,540,4238,0.7433887197420491,0.3722957899856775,0.4583142641396485,0.8732892873997169
gpt2,ar,Gail,child,354,1013,0.7888118704610367,0.2670505900611054,0.19796223702482096,0.8687068114511353
gpt2,ar,Gail,mother,865,3795,0.781149657014051,0.32232883968703535,0.2605604140167835,0.8793148880105401
gpt2,ar,Joel,child,390,1221,0.7888281042373165,0.296464758316511,0.21141020812768227,0.8435708435708436
gpt2,ar,Joel,mother,800,3583,0.7836007327472897,0.2958466748005364,0.26585123488504886,0.897013675690762
gpt2,ar,John,child,354,1912,0.7266417846957718,0.42661008000863887,0.37563100417734924,0.8383891213389121
gpt2,ar,John,mother,732,3849,0.7405423573787406,0.3704593464031152,0.33221811611918883,0.8895817095349441
gpt2,ar,Liz,child,331,1459,0.7725891065105673,0.3964856140379435,0.2977959188035132,0.8492117888965045
gpt2,ar,Liz,mother,611,3177,0.7789551315725455,0.3708941992444918,0.31214633845878853,0.8775574441296821
gpt2,ar,Nicole,child,261,770,0.7402233074462641,0.3319830045724977,0.23376935423236972,0.7909090909090909
gpt2,ar,Nicole,mother,804,4353,0.7705684442826125,0.36602684313378375,0.3183862282768858,0.8826096944635883
gpt2,ar,Ruth,child,223,806,0.7493453800956574,0.2972490924967657,0.2785945415554891,0.8064516129032258
gpt2,ar,Ruth,mother,692,4656,0.7518109504832106,0.401654594444236,0.39527496463564765,0.8913230240549829
gpt2,ar,Warren,child,433,2683,0.7305662584222954,0.3957306980017514,0.4044839458953275,0.8363771897130078
gpt2,ar,Warren,mother,838,6159,0.739447234322175,0.37948307943413556,0.42204566865231335,0.8845591816853385
