model_name,model_type,child_name,speaker,N,S,emp_bias,empirical,naive_predicted,accuracy
opt-125m-strict-2023,ar,Anne,child,356,1275,0.8139439898373675,0.2795704916525452,0.22446021296381302,0.5380392156862746
opt-125m-strict-2023,ar,Anne,mother,698,6140,0.8338803420839656,0.40589511117430255,0.3949029839065743,0.6990228013029316
opt-125m-strict-2023,ar,Aran,child,411,2004,0.7772862129104718,0.3539649233604994,0.31143727583866465,0.6142714570858283
opt-125m-strict-2023,ar,Aran,mother,1038,8432,0.7801308250487956,0.3906995898385225,0.4123961171490324,0.6829933586337761
opt-125m-strict-2023,ar,Becky,child,390,1564,0.8195033705645083,0.2991709988071139,0.24010340247962525,0.409846547314578
opt-125m-strict-2023,ar,Becky,mother,605,3754,0.8184309478451695,0.3488673927470106,0.3248342642169588,0.5724560468833244
opt-125m-strict-2023,ar,Carl,child,412,4041,0.8580200999680793,0.38047153472479645,0.41262269583733463,0.6411779262558772
opt-125m-strict-2023,ar,Carl,mother,512,3838,0.8129411159189215,0.37095782603758753,0.38622567879671305,0.5906722251172486
opt-125m-strict-2023,ar,Dominic,child,153,411,0.8190437306372343,0.208580686601332,0.19297914747049175,0.29927007299270075
opt-125m-strict-2023,ar,Dominic,mother,540,4238,0.8378988707138204,0.3195205428851667,0.36884892806477326,0.6271826333176026
opt-125m-strict-2023,ar,Gail,child,354,1013,0.7984878309176494,0.24333665734070276,0.19317991813251945,0.472852912142152
opt-125m-strict-2023,ar,Gail,mother,865,3795,0.8294516404167996,0.266985411286819,0.2286197162287137,0.5810276679841897
opt-125m-strict-2023,ar,Joel,child,390,1221,0.8148805085202028,0.2486157188733842,0.1971787419026617,0.49713349713349714
opt-125m-strict-2023,ar,Joel,mother,800,3583,0.8118795917538696,0.2808919951590697,0.24742343208708498,0.566564331565727
opt-125m-strict-2023,ar,John,child,354,1912,0.8183141457290899,0.3448955120516927,0.3099584397101981,0.551255230125523
opt-125m-strict-2023,ar,John,mother,732,3849,0.8126437896132157,0.33480236443287287,0.28412559220660016,0.6284749285528709
opt-125m-strict-2023,ar,Liz,child,331,1459,0.7924018000550423,0.35892576744534516,0.28478686292636135,0.49348869088416725
opt-125m-strict-2023,ar,Liz,mother,611,3177,0.7913076206222305,0.3463706544233439,0.3035004844760489,0.604973245199874
opt-125m-strict-2023,ar,Nicole,child,261,770,0.823490047617642,0.24322469923109713,0.19210709740973908,0.34155844155844156
opt-125m-strict-2023,ar,Nicole,mother,804,4353,0.7988190767235672,0.33466554770517953,0.29861972059600345,0.5800597289225822
opt-125m-strict-2023,ar,Ruth,child,223,806,0.8076660787460115,0.25551588207926684,0.24444852571815026,0.5483870967741935
opt-125m-strict-2023,ar,Ruth,mother,692,4656,0.8016838546693541,0.38473521296933527,0.35611343102265836,0.5861254295532646
opt-125m-strict-2023,ar,Warren,child,433,2683,0.8063781566780985,0.36739222270390354,0.34775131301566603,0.5956019381289601
opt-125m-strict-2023,ar,Warren,mother,838,6159,0.7883179312619,0.37208581065171514,0.38482485756445706,0.6678032148075986
