model_name,model_type,child_name,speaker,N,S,emp_bias,empirical,naive_predicted,accuracy
opt-125m-strict-small-2023,ar,Anne,child,356,1275,0.7671931001508779,0.3503884560125682,0.2516710227132955,0.7223529411764706
opt-125m-strict-small-2023,ar,Anne,mother,698,6140,0.745103603904044,0.48011912619909897,0.4817583893754234,0.7241042345276874
opt-125m-strict-small-2023,ar,Aran,child,411,2004,0.7593340768547432,0.38568154209693983,0.3229440947088758,0.6631736526946108
opt-125m-strict-small-2023,ar,Aran,mother,1038,8432,0.7435272634012504,0.42708680486671885,0.4410591266878205,0.7243833017077799
opt-125m-strict-small-2023,ar,Becky,child,390,1564,0.7368273849007312,0.38270834357954076,0.2890803055890825,0.6726342710997443
opt-125m-strict-small-2023,ar,Becky,mother,605,3754,0.7409884692280811,0.42931214774125614,0.38445949558381065,0.7123068726691529
opt-125m-strict-small-2023,ar,Carl,child,412,4041,0.7311286897884731,0.45816025475602684,0.5531368104185435,0.694135115070527
opt-125m-strict-small-2023,ar,Carl,mother,512,3838,0.7202058951641064,0.44398822211400135,0.46195457707577114,0.7050547159979156
opt-125m-strict-small-2023,ar,Dominic,child,153,411,0.7139991097090843,0.24220661182620778,0.24178607576151967,0.6788321167883211
opt-125m-strict-small-2023,ar,Dominic,mother,540,4238,0.7387397846441413,0.3879419799497533,0.461664132843341,0.7267579046720151
opt-125m-strict-small-2023,ar,Gail,child,354,1013,0.764995333420848,0.26766639234369194,0.20882800244945382,0.6910167818361304
opt-125m-strict-small-2023,ar,Gail,mother,865,3795,0.7558966750034195,0.3396660359695817,0.27448847655233577,0.7259552042160737
opt-125m-strict-small-2023,ar,Joel,child,390,1221,0.7738236457088367,0.2954728975809809,0.21883483956602098,0.7485667485667485
opt-125m-strict-small-2023,ar,Joel,mother,800,3583,0.7599352676203956,0.3300055504864995,0.2794252870433855,0.7465810773095172
opt-125m-strict-small-2023,ar,John,child,354,1912,0.7255175031426399,0.4221272126491092,0.3762575431101076,0.7092050209205021
opt-125m-strict-small-2023,ar,John,mother,732,3849,0.7318016114148952,0.3979621933822347,0.3369342891350878,0.7027799428422967
opt-125m-strict-small-2023,ar,Liz,child,331,1459,0.7421768047799776,0.40040598578827036,0.315408069951548,0.6991089787525703
opt-125m-strict-small-2023,ar,Liz,mother,611,3177,0.7435019224017719,0.38943259936683466,0.33417066452540195,0.738117721120554
opt-125m-strict-small-2023,ar,Nicole,child,261,770,0.7467821387753536,0.31124086630472386,0.23107084241268652,0.6402597402597403
opt-125m-strict-small-2023,ar,Nicole,mother,804,4353,0.7411914530099039,0.400220272150475,0.33615930589704823,0.7045715598437859
opt-125m-strict-small-2023,ar,Ruth,child,223,806,0.7452952379940564,0.31384719998604577,0.2806168467499378,0.7009925558312655
opt-125m-strict-small-2023,ar,Ruth,mother,692,4656,0.7383361503141394,0.4378706472956421,0.4042254121743,0.7235824742268041
opt-125m-strict-small-2023,ar,Warren,child,433,2683,0.7328892147114475,0.41299224561922304,0.40306002715251155,0.742079761461051
opt-125m-strict-small-2023,ar,Warren,mother,838,6159,0.7236383086385674,0.40782185563867157,0.4321537174772134,0.7027114791362234
