model_name,model_type,child_name,speaker,N,S,emp_bias,empirical,naive_predicted,accuracy
opt-125m,ar,Anne,child,356,1275,0.7699871574062075,0.3496607372648542,0.2502131309349527,0.8564705882352941
opt-125m,ar,Anne,mother,698,6140,0.7763663910804021,0.4562017180775727,0.45571104298863635,0.8881107491856678
opt-125m,ar,Aran,child,411,2004,0.727460980366905,0.36896999055883445,0.34092763063830045,0.8522954091816367
opt-125m,ar,Aran,mother,1038,8432,0.7531075382460968,0.39515183661807624,0.4340859448067586,0.8938567362428842
opt-125m,ar,Becky,child,390,1564,0.7602821778402428,0.3630872361841295,0.277166291125745,0.8427109974424553
opt-125m,ar,Becky,mother,605,3754,0.777891067535608,0.3902543401685654,0.35896345281137376,0.880927011188066
opt-125m,ar,Carl,child,412,4041,0.7240469938339632,0.4598034181343443,0.5584312493416997,0.8507795100222717
opt-125m,ar,Carl,mother,512,3838,0.7376647136797025,0.43301870041769097,0.4504117009908304,0.8764981761334029
opt-125m,ar,Dominic,child,153,411,0.7584363440752445,0.22855908252099275,0.22418942968643754,0.8223844282238443
opt-125m,ar,Dominic,mother,540,4238,0.7468113871894287,0.3644317010776989,0.4557931125500015,0.8815478999528079
opt-125m,ar,Gail,child,354,1013,0.7959394191807551,0.2681565819218342,0.19446093454566188,0.8756169792694966
opt-125m,ar,Gail,mother,865,3795,0.7860168805564031,0.31581682444102477,0.2576704635564796,0.8940711462450592
opt-125m,ar,Joel,child,390,1221,0.8028825348758418,0.2771799320971881,0.20395275128438436,0.8697788697788698
opt-125m,ar,Joel,mother,800,3583,0.7853657265796556,0.29191593406758165,0.2647738731097687,0.9031537817471392
opt-125m,ar,John,child,354,1912,0.7289007478173449,0.42249916713725183,0.3743604001452124,0.8430962343096234
opt-125m,ar,John,mother,732,3849,0.7478935049733846,0.36872924265696355,0.3280797338994965,0.8976357495453364
opt-125m,ar,Liz,child,331,1459,0.7865184660848928,0.37646185167916285,0.28878377557615975,0.8732008224811515
opt-125m,ar,Liz,mother,611,3177,0.7844177111824335,0.3485199337144894,0.308388329298818,0.8870003147623544
opt-125m,ar,Nicole,child,261,770,0.7348910843020483,0.33595012233326643,0.23589693413722218,0.7948051948051948
opt-125m,ar,Nicole,mother,804,4353,0.7752295125995327,0.3584882289894357,0.31531374154960623,0.8878934068458534
opt-125m,ar,Ruth,child,223,806,0.7476323360222638,0.2994543667967007,0.27945503528721916,0.8163771712158809
opt-125m,ar,Ruth,mother,692,4656,0.7515358905919637,0.3955845269503034,0.3954641515702567,0.8896048109965635
opt-125m,ar,Warren,child,433,2683,0.7295017359305042,0.3965537010469551,0.4051304466820866,0.842713380544167
opt-125m,ar,Warren,mother,838,6159,0.7429225999329476,0.3705981277119483,0.41970404990185606,0.887481734047735
