model_name,model_type,child_name,speaker,N,S,emp_bias,empirical,naive_predicted,accuracy
BabyBERTa-3,mlm,Anne,child,356,1275,0.9988427089926599,0.003660173000772543,0.0037099351772123153,0.5262745098039215
BabyBERTa-3,mlm,Anne,mother,698,6140,0.9990116506462872,0.008235854839899085,0.007805057180353022,0.36938110749185665
BabyBERTa-3,mlm,Aran,child,411,2004,0.9985683055730086,0.006338597641606263,0.006270980420802524,0.468562874251497
BabyBERTa-3,mlm,Aran,mother,1038,8432,0.9987978833507882,0.008998384460998059,0.008436658102145467,0.40417457305502846
BabyBERTa-3,mlm,Becky,child,390,1564,0.9986851275222914,0.00474328535266871,0.004722310484734875,0.6687979539641944
BabyBERTa-3,mlm,Becky,mother,605,3754,0.9989190389227505,0.006198342766201473,0.006050678942658258,0.5018646776771444
BabyBERTa-3,mlm,Carl,child,412,4041,0.9981018695590554,0.016435058417706067,0.01623653493293749,0.39915862410294484
BabyBERTa-3,mlm,Carl,mother,512,3838,0.9987728424043503,0.008557332170914658,0.008292583714832876,0.4747264200104221
BabyBERTa-3,mlm,Dominic,child,153,411,0.9989527395125353,0.002272602132294564,0.0024869924673806628,0.7883211678832117
BabyBERTa-3,mlm,Dominic,mother,540,4238,0.9989555252482157,0.007479604091188958,0.007444343019160072,0.4285040113260972
BabyBERTa-3,mlm,Gail,child,354,1013,0.9986686825006729,0.003229043300787772,0.00333763494517299,0.6258637709772952
BabyBERTa-3,mlm,Gail,mother,865,3795,0.9988731392524576,0.00440585107702038,0.004353930068813783,0.4901185770750988
BabyBERTa-3,mlm,Joel,child,390,1221,0.9986960513039524,0.0034792323118734165,0.00359793011359313,0.597051597051597
BabyBERTa-3,mlm,Joel,mother,800,3583,0.9989956205925695,0.0038203895670719914,0.004000956275322631,0.5467485347474184
BabyBERTa-3,mlm,John,child,354,1912,0.9984560912759008,0.007684320620103861,0.007525378410108939,0.4973849372384937
BabyBERTa-3,mlm,John,mother,732,3849,0.9988169054722777,0.0056543237755473305,0.005524582692346021,0.43673681475707976
BabyBERTa-3,mlm,Liz,child,331,1459,0.9986697055964144,0.005422240174359369,0.005299725672474741,0.6079506511309116
BabyBERTa-3,mlm,Liz,mother,611,3177,0.9989278362969229,0.005087597098436335,0.005014902844999008,0.5184135977337111
BabyBERTa-3,mlm,Nicole,child,261,770,0.9985596661124377,0.003559865006179134,0.0037457037442891732,0.7285714285714285
BabyBERTa-3,mlm,Nicole,mother,804,4353,0.998918806274342,0.005300137390629388,0.00520690568427614,0.5056283023202389
BabyBERTa-3,mlm,Ruth,child,223,806,0.9987251808761617,0.003981788397273094,0.004155368222326311,0.5397022332506204
BabyBERTa-3,mlm,Ruth,mother,692,4656,0.9990153327365745,0.006092926734581939,0.0059754913487432585,0.501073883161512
BabyBERTa-3,mlm,Warren,child,433,2683,0.9983843816781103,0.009132931042779307,0.008944496749906652,0.5173313455087588
BabyBERTa-3,mlm,Warren,mother,838,6159,0.9986899360717619,0.008857909588379306,0.00840239232638576,0.4070465984737782
