model_name,model_type,child_name,speaker,N,S,emp_bias,empirical,naive_predicted,accuracy
ELC_BERT_baby_100M,mlm,Anne,child,356,1275,0.7882635459641981,0.3147587641174597,0.24016728597480427,0.7631372549019608
ELC_BERT_baby_100M,mlm,Anne,mother,698,6140,0.7234342979518306,0.45571190476969475,0.49736930783598,0.6942996742671009
ELC_BERT_baby_100M,mlm,Aran,child,411,2004,0.7439757361107343,0.34841237902825095,0.33198523597791413,0.7160678642714571
ELC_BERT_baby_100M,mlm,Aran,mother,1038,8432,0.7414046940700085,0.39951248263283556,0.4425558916736943,0.7239089184060721
ELC_BERT_baby_100M,mlm,Becky,child,390,1564,0.8201522847798876,0.3014950839024358,0.23963522038348756,0.8177749360613811
ELC_BERT_baby_100M,mlm,Becky,mother,605,3754,0.789531221639006,0.3688254434093593,0.34986681644142636,0.7442727757059137
ELC_BERT_baby_100M,mlm,Carl,child,412,4041,0.7217832457214254,0.41887075929130485,0.560078159984957,0.7453600593912398
ELC_BERT_baby_100M,mlm,Carl,mother,512,3838,0.7596525137733138,0.40102044876331167,0.4342132249282064,0.7342365815528922
ELC_BERT_baby_100M,mlm,Dominic,child,153,411,0.8734053401411187,0.1477411172468279,0.15611182141284444,0.8564476885644768
ELC_BERT_baby_100M,mlm,Dominic,mother,540,4238,0.7505067047469567,0.34881020080858466,0.45301807420716483,0.7024539877300614
ELC_BERT_baby_100M,mlm,Gail,child,354,1013,0.8231362892207001,0.2201738774754768,0.17995675300417038,0.7847976307996052
ELC_BERT_baby_100M,mlm,Gail,mother,865,3795,0.7756529550363864,0.31414423660212826,0.2637422557754286,0.7386034255599473
ELC_BERT_baby_100M,mlm,Joel,child,390,1221,0.8207703635102042,0.24103946143638105,0.19370913059494582,0.8083538083538083
ELC_BERT_baby_100M,mlm,Joel,mother,800,3583,0.8018662309539628,0.27910959986963435,0.25424002830336495,0.7622104381802959
ELC_BERT_baby_100M,mlm,John,child,354,1912,0.7505477051766946,0.3706805137196044,0.36136842299278726,0.7615062761506276
ELC_BERT_baby_100M,mlm,John,mother,732,3849,0.734711430501176,0.35602317589235155,0.33538858039096653,0.7334372564302416
ELC_BERT_baby_100M,mlm,Liz,child,331,1459,0.8311335245498378,0.33994936280853955,0.2553885836683466,0.7971213159698424
ELC_BERT_baby_100M,mlm,Liz,mother,611,3177,0.8042349222893873,0.3266369036600833,0.293867563544224,0.731192949323261
ELC_BERT_baby_100M,mlm,Nicole,child,261,770,0.8465101600394094,0.21780260320989756,0.17733156034601696,0.8337662337662337
ELC_BERT_baby_100M,mlm,Nicole,mother,804,4353,0.7883612821805935,0.3483520607986766,0.30626231041953395,0.7374224672639559
ELC_BERT_baby_100M,mlm,Ruth,child,223,806,0.8346187797208224,0.2442260159222539,0.22507467900363592,0.6972704714640199
ELC_BERT_baby_100M,mlm,Ruth,mother,692,4656,0.7808854862822993,0.3871590752486488,0.37366846171812945,0.7547250859106529
ELC_BERT_baby_100M,mlm,Warren,child,433,2683,0.7290190455559619,0.3822920308796293,0.4054223490146847,0.7916511367871786
ELC_BERT_baby_100M,mlm,Warren,mother,838,6159,0.7249041041651927,0.38646667158809417,0.43137653904744105,0.7439519402500406
