model_name,model_type,child_name,speaker,N,S,emp_bias,empirical,naive_predicted,accuracy
babylm-baseline-100m-gpt-bert-masked-focus,mlm,Anne,child,356,1275,0.9471489379731415,0.13031254765982378,0.09988910516120869,0.5301960784313725
babylm-baseline-100m-gpt-bert-masked-focus,mlm,Anne,mother,698,6140,0.808674894910812,0.40035000801541126,0.4238358659025438,0.4703583061889251
babylm-baseline-100m-gpt-bert-masked-focus,mlm,Aran,child,411,2004,0.9315284716873622,0.1879955401003142,0.15404848656643838,0.47704590818363274
babylm-baseline-100m-gpt-bert-masked-focus,mlm,Aran,mother,1038,8432,0.7436044368287835,0.38417694044247036,0.441004381165573,0.5879981024667932
babylm-baseline-100m-gpt-bert-masked-focus,mlm,Becky,child,390,1564,0.9849139158133847,0.04924318717184955,0.04184156936633232,0.6694373401534527
babylm-baseline-100m-gpt-bert-masked-focus,mlm,Becky,mother,605,3754,0.9094583956058906,0.22309054712310822,0.21622745523645184,0.5319659030367608
babylm-baseline-100m-gpt-bert-masked-focus,mlm,Carl,child,412,4041,0.9855073109552185,0.0895250277429364,0.088577327361018,0.39915862410294484
babylm-baseline-100m-gpt-bert-masked-focus,mlm,Carl,mother,512,3838,0.9032255440761193,0.2540757503933282,0.26643651831369536,0.5046899426784783
babylm-baseline-100m-gpt-bert-masked-focus,mlm,Dominic,child,153,411,0.9924253759964681,0.014535677345507,0.016756547708277683,0.7883211678832117
babylm-baseline-100m-gpt-bert-masked-focus,mlm,Dominic,mother,540,4238,0.8985983352299034,0.20656290207330752,0.28227849005288813,0.4771118452100047
babylm-baseline-100m-gpt-bert-masked-focus,mlm,Gail,child,354,1013,0.9808310295326016,0.04090564528180201,0.03732838180257458,0.6258637709772952
babylm-baseline-100m-gpt-bert-masked-focus,mlm,Gail,mother,865,3795,0.8864707938853816,0.19283276895886525,0.1797305662245578,0.5483530961791832
babylm-baseline-100m-gpt-bert-masked-focus,mlm,Joel,child,390,1221,0.9828653936307117,0.03958970860147854,0.03674427520507257,0.5995085995085995
babylm-baseline-100m-gpt-bert-masked-focus,mlm,Joel,mother,800,3583,0.912278422373261,0.1640779725145582,0.1564008542864928,0.5824727881663411
babylm-baseline-100m-gpt-bert-masked-focus,mlm,John,child,354,1912,0.9916850172826733,0.038675098181586716,0.03411325825599745,0.4973849372384937
babylm-baseline-100m-gpt-bert-masked-focus,mlm,John,mother,732,3849,0.8902350765733494,0.21645286711068606,0.2087849352971677,0.4853208625617043
babylm-baseline-100m-gpt-bert-masked-focus,mlm,Liz,child,331,1459,0.9885835319008861,0.042171555155190533,0.0370228055114001,0.6079506511309116
babylm-baseline-100m-gpt-bert-masked-focus,mlm,Liz,mother,611,3177,0.9069892081998705,0.20482640396239846,0.1901275595111912,0.5656279508970727
babylm-baseline-100m-gpt-bert-masked-focus,mlm,Nicole,child,261,770,0.9908609550361355,0.020974248573166675,0.021166766779523217,0.7285714285714285
babylm-baseline-100m-gpt-bert-masked-focus,mlm,Nicole,mother,804,4353,0.9075816102457205,0.20636172486989487,0.18984176724419258,0.543762922122674
babylm-baseline-100m-gpt-bert-masked-focus,mlm,Ruth,child,223,806,0.9936487448630432,0.017948207896291427,0.01899603701870062,0.5397022332506204
babylm-baseline-100m-gpt-bert-masked-focus,mlm,Ruth,mother,692,4656,0.9037771650902385,0.24459284472713438,0.23621420979720756,0.5451030927835051
babylm-baseline-100m-gpt-bert-masked-focus,mlm,Warren,child,433,2683,0.9844594975684591,0.0712291536832828,0.06280442216505483,0.5173313455087588
babylm-baseline-100m-gpt-bert-masked-focus,mlm,Warren,mother,838,6159,0.8662740716212344,0.2648767414289627,0.3021208975482449,0.4692320181847702
