model_name,model_type,child_name,speaker,N,S,emp_bias,empirical,naive_predicted,accuracy
babylm-baseline-100m-gpt-bert-mixed,mlm,Anne,child,356,1275,0.9632601370375976,0.09367838686814686,0.07643326317073108,0.527843137254902
babylm-baseline-100m-gpt-bert-mixed,mlm,Anne,mother,698,6140,0.8909388037200413,0.30636084402525426,0.31257142322733505,0.4021172638436482
babylm-baseline-100m-gpt-bert-mixed,mlm,Aran,child,411,2004,0.9589171694566918,0.1312995643700353,0.10736270670216279,0.46956087824351295
babylm-baseline-100m-gpt-bert-mixed,mlm,Aran,mother,1038,8432,0.8666707605256905,0.2767108757026812,0.318331608419148,0.4555265654648956
babylm-baseline-100m-gpt-bert-mixed,mlm,Becky,child,390,1564,0.9775071016349965,0.07000585175183044,0.057512065240374236,0.6694373401534527
babylm-baseline-100m-gpt-bert-mixed,mlm,Becky,mother,605,3754,0.9439847507782688,0.16392293988591797,0.15700012100443672,0.5138518913159297
babylm-baseline-100m-gpt-bert-mixed,mlm,Carl,child,412,4041,0.9707299655633329,0.14477614169707212,0.14995006349504075,0.39915862410294484
babylm-baseline-100m-gpt-bert-mixed,mlm,Carl,mother,512,3838,0.9398753154108461,0.20392119590452715,0.19579229142029114,0.484627410109432
babylm-baseline-100m-gpt-bert-mixed,mlm,Dominic,child,153,411,0.987563541449042,0.023945593653438135,0.026258966366602854,0.7883211678832117
babylm-baseline-100m-gpt-bert-mixed,mlm,Dominic,mother,540,4238,0.950999532616775,0.1487032817443257,0.17553505817354084,0.4358187824445493
babylm-baseline-100m-gpt-bert-mixed,mlm,Gail,child,354,1013,0.978741176180845,0.04629800792767055,0.04057634983430333,0.6258637709772952
babylm-baseline-100m-gpt-bert-mixed,mlm,Gail,mother,865,3795,0.9402033674370264,0.1358040088049285,0.1173220725231763,0.5043478260869565
babylm-baseline-100m-gpt-bert-mixed,mlm,Joel,child,390,1221,0.9755371523431958,0.056007528135096185,0.048837730454954625,0.597051597051597
babylm-baseline-100m-gpt-bert-mixed,mlm,Joel,mother,800,3583,0.9466668428876491,0.12294553363385256,0.11119719008338999,0.556516885291655
babylm-baseline-100m-gpt-bert-mixed,mlm,John,child,354,1912,0.9832726559353208,0.06960260535642256,0.060306235014561616,0.4973849372384937
babylm-baseline-100m-gpt-bert-mixed,mlm,John,mother,732,3849,0.9454758084698666,0.15070538786510426,0.1311235568490261,0.44583008573655497
babylm-baseline-100m-gpt-bert-mixed,mlm,Liz,child,331,1459,0.9798258219153472,0.07123162556859455,0.05867508478711049,0.6079506511309116
babylm-baseline-100m-gpt-bert-mixed,mlm,Liz,mother,611,3177,0.9464872249823515,0.14495491937120475,0.1308702116487384,0.5313188542650299
babylm-baseline-100m-gpt-bert-mixed,mlm,Nicole,child,261,770,0.9845485362371255,0.034806434320630866,0.03323946196097981,0.7285714285714285
babylm-baseline-100m-gpt-bert-mixed,mlm,Nicole,mother,804,4353,0.9475986398222039,0.14808967984502347,0.12935481651267006,0.5175740868366644
babylm-baseline-100m-gpt-bert-mixed,mlm,Ruth,child,223,806,0.9816722073627593,0.04323443969695971,0.047288024372102,0.5397022332506204
babylm-baseline-100m-gpt-bert-mixed,mlm,Ruth,mother,692,4656,0.9398958521711103,0.18354694185627002,0.17351103317962824,0.5163230240549829
babylm-baseline-100m-gpt-bert-mixed,mlm,Warren,child,433,2683,0.973644224480577,0.10663838090612109,0.09441051825512231,0.5177040626164741
babylm-baseline-100m-gpt-bert-mixed,mlm,Warren,mother,838,6159,0.9323053487107891,0.18992542259688014,0.1977490466616112,0.42198408832602696
