model_name,model_type,child_name,speaker,N,S,emp_bias,empirical,naive_predicted,accuracy
gpt-bert-babylm-base,mlm,Anne,child,356,1275,0.9111800309302017,0.18326747135993418,0.14317309939853198,0.548235294117647
gpt-bert-babylm-base,mlm,Anne,mother,698,6140,0.8607015745384116,0.32755370659285804,0.3594841569742804,0.44315960912052116
gpt-bert-babylm-base,mlm,Aran,child,411,2004,0.882923071372198,0.23690543753176055,0.2182419561325659,0.5104790419161677
gpt-bert-babylm-base,mlm,Aran,mother,1038,8432,0.8463874967203688,0.28460557217562926,0.3443644177838342,0.49430740037950666
gpt-bert-babylm-base,mlm,Becky,child,390,1564,0.9216746517502366,0.1857251567030373,0.1436110924279462,0.6898976982097187
gpt-bert-babylm-base,mlm,Becky,mother,605,3754,0.8850542344069109,0.2534719289009692,0.25084380970891457,0.5607352157698455
gpt-bert-babylm-base,mlm,Carl,child,412,4041,0.8856364948781285,0.2715044871120251,0.36628308975494656,0.4451868349418461
gpt-bert-babylm-base,mlm,Carl,mother,512,3838,0.8939355987520989,0.2693817951238584,0.28178014997840845,0.5184992183428869
gpt-bert-babylm-base,mlm,Dominic,child,153,411,0.9502725506772873,0.07453950418464318,0.08177778413013388,0.7931873479318735
gpt-bert-babylm-base,mlm,Dominic,mother,540,4238,0.869170745438074,0.21527124881678103,0.32795157404344333,0.5073147711184521
gpt-bert-babylm-base,mlm,Gail,child,354,1013,0.9160329578460915,0.13444501618451726,0.11297037133841512,0.6564659427443238
gpt-bert-babylm-base,mlm,Gail,mother,865,3795,0.8713257062078397,0.20871110011211153,0.19412677350783247,0.5652173913043478
gpt-bert-babylm-base,mlm,Joel,child,390,1221,0.918658410902479,0.1379336662026945,0.11841460735286964,0.6224406224406225
gpt-bert-babylm-base,mlm,Joel,mother,800,3583,0.8888301831625325,0.1845730331049648,0.18213397005587492,0.6048004465531678
gpt-bert-babylm-base,mlm,John,child,354,1912,0.916032077126771,0.2100760694901456,0.19577495755617966,0.5198744769874477
gpt-bert-babylm-base,mlm,John,mother,732,3849,0.8660467488750994,0.24319144709506774,0.235574215441662,0.505066250974279
gpt-bert-babylm-base,mlm,Liz,child,331,1459,0.930285353299401,0.18909229708170316,0.14693028895327448,0.6237148732008225
gpt-bert-babylm-base,mlm,Liz,mother,611,3177,0.8964502385184153,0.21518683015373183,0.2035762448944183,0.5738117721120554
gpt-bert-babylm-base,mlm,Nicole,child,261,770,0.9400397531030746,0.11054818916622909,0.09546785811810299,0.7454545454545455
gpt-bert-babylm-base,mlm,Nicole,mother,804,4353,0.8947584646242113,0.22887473913112055,0.2061779678920221,0.5538708936365725
gpt-bert-babylm-base,mlm,Ruth,child,223,806,0.9281383623761651,0.12404960416883484,0.13277046097400183,0.5669975186104218
gpt-bert-babylm-base,mlm,Ruth,mother,692,4656,0.8814974501439868,0.26656931910322973,0.2683240777755671,0.5689432989690721
gpt-bert-babylm-base,mlm,Warren,child,433,2683,0.8855451819002712,0.23597374103974578,0.25946935657442,0.5538576220648528
gpt-bert-babylm-base,mlm,Warren,mother,838,6159,0.8455189751829024,0.2848687843260466,0.32751478087527874,0.4943984413054067
