model_name,model_type,child_name,speaker,N,S,emp_bias,empirical,naive_predicted,accuracy
gpt-bert-babylm-small,mlm,Anne,child,356,1275,0.9113539177969948,0.1782482899469365,0.1429868308346732,0.5607843137254902
gpt-bert-babylm-small,mlm,Anne,mother,698,6140,0.8817997530904382,0.2994019152198748,0.3276367931009347,0.43762214983713354
gpt-bert-babylm-small,mlm,Aran,child,411,2004,0.907958556247291,0.2067479427960146,0.18752944326922816,0.5004990019960079
gpt-bert-babylm-small,mlm,Aran,mother,1038,8432,0.8997825965996047,0.22934843765743082,0.2689145594203362,0.4538662239089184
gpt-bert-babylm-small,mlm,Becky,child,390,1564,0.8974650787423383,0.20649074194865444,0.17147506572180002,0.7148337595907929
gpt-bert-babylm-small,mlm,Becky,mother,605,3754,0.8831120137172407,0.2545472644094695,0.25339424384182807,0.5796483750665956
gpt-bert-babylm-small,mlm,Carl,child,412,4041,0.8516474199610556,0.28460778873693926,0.4222839718752576,0.4795842613214551
gpt-bert-babylm-small,mlm,Carl,mother,512,3838,0.8865525713661663,0.27055449120520914,0.29337344938212717,0.5341323606044815
gpt-bert-babylm-small,mlm,Dominic,child,153,411,0.9312725897889135,0.10221638750008667,0.10356729448230564,0.805352798053528
gpt-bert-babylm-small,mlm,Dominic,mother,540,4238,0.874507134105891,0.2252266747511755,0.32023909349092516,0.501887682869278
gpt-bert-babylm-small,mlm,Gail,child,354,1013,0.9145078630224487,0.1180609627839701,0.11435740954887168,0.6732477788746298
gpt-bert-babylm-small,mlm,Gail,mother,865,3795,0.8877111014580328,0.20108332379502264,0.178499575119257,0.5641633728590251
gpt-bert-babylm-small,mlm,Joel,child,390,1221,0.9024331907609047,0.1603160580476548,0.1337226057232423,0.6511056511056511
gpt-bert-babylm-small,mlm,Joel,mother,800,3583,0.8936388318000731,0.17712924982657108,0.17713024770452473,0.6056377337426737
gpt-bert-babylm-small,mlm,John,child,354,1912,0.8997103311531209,0.21632709673866538,0.21940735948742354,0.5324267782426778
gpt-bert-babylm-small,mlm,John,mother,732,3849,0.8686300094827969,0.23606760719618416,0.23287509690008631,0.5102624058196934
gpt-bert-babylm-small,mlm,Liz,child,331,1459,0.9147184126717762,0.2010476411397448,0.16826165861153078,0.6483893077450309
gpt-bert-babylm-small,mlm,Liz,mother,611,3177,0.8989447766394841,0.204704495094508,0.20046712755238177,0.5750708215297451
gpt-bert-babylm-small,mlm,Nicole,child,261,770,0.9157487796314315,0.1455955146600036,0.12106422723760947,0.7636363636363637
gpt-bert-babylm-small,mlm,Nicole,mother,804,4353,0.8959135395264576,0.2172132605138572,0.204755658102085,0.569492304158052
gpt-bert-babylm-small,mlm,Ruth,child,223,806,0.9216330339728926,0.14490196649103668,0.14089217681649277,0.5967741935483871
gpt-bert-babylm-small,mlm,Ruth,mother,692,4656,0.8807886384984585,0.2656841951221413,0.26927943376066776,0.5760309278350515
gpt-bert-babylm-small,mlm,Warren,child,433,2683,0.8611484644803816,0.25226888815700704,0.29069596967942074,0.581811405143496
gpt-bert-babylm-small,mlm,Warren,mother,838,6159,0.8432950782715743,0.2817474158770393,0.3300734192286709,0.503003734372463
