model_name,model_type,child_name,speaker,N,S,emp_bias,empirical,naive_predicted,accuracy
ltg-bert-babylm,mlm,Anne,child,356,1275,0.7819936683454296,0.3221342968462841,0.2437151066087304,0.7474509803921568
ltg-bert-babylm,mlm,Anne,mother,698,6140,0.7290095509484003,0.44755344275760606,0.49353236262075934,0.6859934853420195
ltg-bert-babylm,mlm,Aran,child,411,2004,0.7332754692638501,0.3593508462210636,0.3378687344840381,0.7125748502994012
ltg-bert-babylm,mlm,Aran,mother,1038,8432,0.7332091920346661,0.39875786391897583,0.44817503636418027,0.719876660341556
ltg-bert-babylm,mlm,Becky,child,390,1564,0.8218170694467183,0.30208476577126353,0.23842734133050578,0.8228900255754475
ltg-bert-babylm,mlm,Becky,mother,605,3754,0.7919164051524584,0.3665090994015344,0.3479358300781131,0.756259989344699
ltg-bert-babylm,mlm,Carl,child,412,4041,0.712989696330544,0.42474079630017003,0.5662711021270675,0.7270477604553328
ltg-bert-babylm,mlm,Carl,mother,512,3838,0.7503899627164826,0.39454908975280545,0.441271267898274,0.7441375716519021
ltg-bert-babylm,mlm,Dominic,child,153,411,0.8772558332117082,0.15466074086662787,0.15310630191578736,0.8564476885644768
ltg-bert-babylm,mlm,Dominic,mother,540,4238,0.7508065066460982,0.34535875499997354,0.45279049568405705,0.7213308164228409
ltg-bert-babylm,mlm,Gail,child,354,1013,0.8130940586082587,0.22276040337070158,0.18553114377776236,0.8065153010858835
ltg-bert-babylm,mlm,Gail,mother,865,3795,0.7717471131470375,0.3067871108881731,0.2659514079887744,0.7504611330698288
ltg-bert-babylm,mlm,Joel,child,390,1221,0.8179772689872679,0.23817265608561286,0.1953666200171143,0.8075348075348076
ltg-bert-babylm,mlm,Joel,mother,800,3583,0.801587876307278,0.27448465555315293,0.25442482979703657,0.7675132570471672
ltg-bert-babylm,mlm,John,child,354,1912,0.7569538089183049,0.38104092051628013,0.3572303075829552,0.7259414225941423
ltg-bert-babylm,mlm,John,mother,732,3849,0.7429267291511465,0.3475961990907522,0.3308932437478299,0.7357755261106781
ltg-bert-babylm,mlm,Liz,child,331,1459,0.8314070584454498,0.3274180565713655,0.25516045703646995,0.7813570938999315
ltg-bert-babylm,mlm,Liz,mother,611,3177,0.8058273410206861,0.3277944641836473,0.29263787401804725,0.7500786905886057
ltg-bert-babylm,mlm,Nicole,child,261,770,0.8365359113535978,0.2328189721788591,0.18393434353413718,0.8350649350649351
ltg-bert-babylm,mlm,Nicole,mother,804,4353,0.7954208604311349,0.331435194597694,0.3011466368405751,0.740868366643694
ltg-bert-babylm,mlm,Ruth,child,223,806,0.8426986256461517,0.2237903550199454,0.2187543272538117,0.6910669975186104
ltg-bert-babylm,mlm,Ruth,mother,692,4656,0.785312695883327,0.3691698015121101,0.3700855559940523,0.748926116838488
ltg-bert-babylm,mlm,Warren,child,433,2683,0.7331448238121587,0.3775919988727928,0.40290223861132457,0.7730152814014163
ltg-bert-babylm,mlm,Warren,mother,838,6159,0.7308217895977236,0.37301044169327635,0.42766963565644367,0.739730475726579
