model_name,model_type,child_name,speaker,N,S,emp_bias,empirical,naive_predicted,accuracy
ltg-bert-bnc,mlm,Anne,child,356,1275,0.7976940467292727,0.3161576956348833,0.2346238255918881,0.8831372549019608
ltg-bert-bnc,mlm,Anne,mother,698,6140,0.7908501320754089,0.4189677366323956,0.44209070125916977,0.9061889250814332
ltg-bert-bnc,mlm,Aran,child,411,2004,0.7468258038018474,0.34178029404797444,0.33036139765983763,0.872255489021956
ltg-bert-bnc,mlm,Aran,mother,1038,8432,0.7666711992094152,0.36499073321823067,0.42358407609363385,0.907258064516129
ltg-bert-bnc,mlm,Becky,child,390,1564,0.7967019832060876,0.3292455187517982,0.25565350653677443,0.8702046035805626
ltg-bert-bnc,mlm,Becky,mother,605,3754,0.8056561372274834,0.34593235769130204,0.3363493968901217,0.9120937666489078
ltg-bert-bnc,mlm,Carl,child,412,4041,0.7392585623484982,0.4295335817095469,0.5467865097968871,0.8685968819599109
ltg-bert-bnc,mlm,Carl,mother,512,3838,0.7534181787196504,0.40969245889524497,0.43900207078084436,0.8897863470557582
ltg-bert-bnc,mlm,Dominic,child,153,411,0.8127314024731467,0.19186143924755616,0.1966683818333024,0.8442822384428224
ltg-bert-bnc,mlm,Dominic,mother,540,4238,0.7624392745171974,0.3306391982877504,0.44367148025305414,0.8949976403964134
ltg-bert-bnc,mlm,Gail,child,354,1013,0.8196110590043252,0.24235927260332407,0.18194386429195425,0.8973346495557749
ltg-bert-bnc,mlm,Gail,mother,865,3795,0.8047701120713036,0.29015043811585944,0.24587280684818846,0.908300395256917
ltg-bert-bnc,mlm,Joel,child,390,1221,0.8344883843826554,0.2445961957175972,0.18524033311035154,0.8935298935298935
ltg-bert-bnc,mlm,Joel,mother,800,3583,0.8072016030501713,0.26069511608996854,0.25064917955730454,0.9098520792631872
ltg-bert-bnc,mlm,John,child,354,1912,0.7488761289764287,0.38149516124505517,0.36242564738405675,0.8629707112970711
ltg-bert-bnc,mlm,John,mother,732,3849,0.7631299093055024,0.34250070122531723,0.3189839536273727,0.9106261366588725
ltg-bert-bnc,mlm,Liz,child,331,1459,0.8074201976891086,0.34318205197006374,0.2740445723121974,0.8875942426319396
ltg-bert-bnc,mlm,Liz,mother,611,3177,0.8100788438636681,0.31967028863668184,0.2893071116737631,0.8977022348127164
ltg-bert-bnc,mlm,Nicole,child,261,770,0.784875220811365,0.2916950898862434,0.21352183171364728,0.8350649350649351
ltg-bert-bnc,mlm,Nicole,mother,804,4353,0.8025303197718336,0.3167794900371249,0.29581116412035874,0.9117849758787043
ltg-bert-bnc,mlm,Ruth,child,223,806,0.7684111945684011,0.277718492239608,0.26849523357628496,0.8213399503722084
ltg-bert-bnc,mlm,Ruth,mother,692,4656,0.7735351826120871,0.37488749509364827,0.37944084546668455,0.9074312714776632
ltg-bert-bnc,mlm,Warren,child,433,2683,0.7448272992642193,0.37471585685435543,0.3954527470498763,0.8606038017144987
ltg-bert-bnc,mlm,Warren,mother,838,6159,0.7578343832293825,0.34559489095534535,0.40914751195714,0.9069654164637116
