model_name,model_type,child_name,speaker,N,S,emp_bias,empirical,naive_predicted,accuracy
ltgbert-100m-2024,mlm,Anne,child,356,1275,0.7310453263612383,0.3735731216736234,0.2687913314616404,0.7615686274509804
ltgbert-100m-2024,mlm,Anne,mother,698,6140,0.6901234913545033,0.50568553688338,0.5178613669217985,0.781270358306189
ltgbert-100m-2024,mlm,Aran,child,411,2004,0.6562205974950971,0.4183781708829051,0.3711259696147681,0.749001996007984
ltgbert-100m-2024,mlm,Aran,mother,1038,8432,0.6838114137356854,0.46503681216857706,0.47700490239322285,0.8084677419354839
ltgbert-100m-2024,mlm,Becky,child,390,1564,0.7628579955744355,0.36379234704880553,0.27576902353498345,0.8171355498721228
ltgbert-100m-2024,mlm,Becky,mother,605,3754,0.7470807070681129,0.41941815681327665,0.3805815094304192,0.8052743740010655
ltgbert-100m-2024,mlm,Carl,child,412,4041,0.6955566062039761,0.4466152391773686,0.577619089746242,0.7334818114328137
ltgbert-100m-2024,mlm,Carl,mother,512,3838,0.7226764711686086,0.42526419042471053,0.4603890004709952,0.7589890568004168
ltgbert-100m-2024,mlm,Dominic,child,153,411,0.7831068570400221,0.2247992064407432,0.21257374441775642,0.829683698296837
ltgbert-100m-2024,mlm,Dominic,mother,540,4238,0.7016126947443668,0.37105071217489016,0.48549529482228604,0.7614440773949976
ltgbert-100m-2024,mlm,Gail,child,354,1013,0.7680164783697443,0.27148627436344813,0.20751829012012651,0.8292201382033564
ltgbert-100m-2024,mlm,Gail,mother,865,3795,0.7348057247624288,0.3501195668610051,0.2848326437288896,0.7815546772068511
ltgbert-100m-2024,mlm,Joel,child,390,1221,0.7585305099526665,0.3094659107445827,0.2258633065446537,0.7936117936117936
ltgbert-100m-2024,mlm,Joel,mother,800,3583,0.7596487073948487,0.31594400500116976,0.2795800323972831,0.8001674574379012
ltgbert-100m-2024,mlm,John,child,354,1912,0.7185020898005154,0.41714092415640774,0.38008037438625286,0.733786610878661
ltgbert-100m-2024,mlm,John,mother,732,3849,0.707324359813511,0.3823798124364508,0.34900761885629566,0.7547414912964406
ltgbert-100m-2024,mlm,Liz,child,331,1459,0.7668130844349026,0.4000365137837633,0.30135331185319963,0.7827278958190541
ltgbert-100m-2024,mlm,Liz,mother,611,3177,0.7605496933648591,0.3681396173215355,0.3240764697420477,0.7796663519043122
ltgbert-100m-2024,mlm,Nicole,child,261,770,0.7575945211532282,0.30281354506423674,0.22642136004593436,0.8051948051948052
ltgbert-100m-2024,mlm,Nicole,mother,804,4353,0.752597695217033,0.38178937892558723,0.32957582777300504,0.80289455547898
ltgbert-100m-2024,mlm,Ruth,child,223,806,0.7816823491662666,0.286614659804468,0.26087634558769,0.6960297766749379
ltgbert-100m-2024,mlm,Ruth,mother,692,4656,0.7435755866911643,0.4150557393482617,0.4008214883674532,0.7893041237113402
ltgbert-100m-2024,mlm,Warren,child,433,2683,0.6910868124976959,0.4068868541336547,0.42603264715383576,0.7752515840477078
ltgbert-100m-2024,mlm,Warren,mother,838,6159,0.6927724323822464,0.3950852070289351,0.4494559534516407,0.7851924013638578
