model_name,model_type,child_name,speaker,N,S,emp_bias,empirical,naive_predicted,accuracy
roberta-base-10M-1,mlm,Anne,child,356,1275,0.8393004981502818,0.2488501942132622,0.20692402607871205,0.6650980392156862
roberta-base-10M-1,mlm,Anne,mother,698,6140,0.7873385105054671,0.4008169088736376,0.4454892918058212,0.6079804560260587
roberta-base-10M-1,mlm,Aran,child,411,2004,0.8146826330562523,0.2902689591189499,0.28389360705404865,0.6452095808383234
roberta-base-10M-1,mlm,Aran,mother,1038,8432,0.7868261632293224,0.3547782411809493,0.4065321258488802,0.6404174573055028
roberta-base-10M-1,mlm,Becky,child,390,1564,0.8824291947665969,0.22112742324374188,0.18694229612888513,0.7595907928388747
roberta-base-10M-1,mlm,Becky,mother,605,3754,0.8499645488149923,0.2914142738666243,0.2930072892740931,0.6675546084176878
roberta-base-10M-1,mlm,Carl,child,412,4041,0.7797874483118845,0.35846518403051936,0.5104299870678097,0.6149467953476863
roberta-base-10M-1,mlm,Carl,mother,512,3838,0.8080923650357755,0.3527017287137081,0.3911609216257148,0.6552892131318395
roberta-base-10M-1,mlm,Dominic,child,153,411,0.9353448030157425,0.09673273595030252,0.09914057327014926,0.8248175182481752
roberta-base-10M-1,mlm,Dominic,mother,540,4238,0.8336587970976757,0.2867501922605091,0.37388213252316593,0.6316658801321378
roberta-base-10M-1,mlm,Gail,child,354,1013,0.8810943004012016,0.15707003232989503,0.1419530501800259,0.7156959526159921
roberta-base-10M-1,mlm,Gail,mother,865,3795,0.8269712766058419,0.2596926254018205,0.2304482443704306,0.6888010540184453
roberta-base-10M-1,mlm,Joel,child,390,1221,0.8807609655850138,0.16849626101393525,0.15213057617003406,0.7248157248157249
roberta-base-10M-1,mlm,Joel,mother,800,3583,0.8409237180006042,0.23212453204664457,0.2256689122645768,0.6991348032375104
roberta-base-10M-1,mlm,John,child,354,1912,0.8376077826391227,0.28710185247320286,0.29182804185676503,0.6438284518828452
roberta-base-10M-1,mlm,John,mother,732,3849,0.7954729276297315,0.30741318400975276,0.29719373194451115,0.6378280072746167
roberta-base-10M-1,mlm,Liz,child,331,1459,0.8826044275446701,0.24835026565033308,0.20641599256574814,0.7189856065798492
roberta-base-10M-1,mlm,Liz,mother,611,3177,0.8623265252685963,0.26601831387609737,0.24207338578514592,0.6811457349700976
roberta-base-10M-1,mlm,Nicole,child,261,770,0.9005887965093938,0.14630166741352094,0.1352189097901331,0.7792207792207793
roberta-base-10M-1,mlm,Nicole,mother,804,4353,0.8367732506780812,0.2840983627468799,0.2673177989865066,0.6822880771881461
roberta-base-10M-1,mlm,Ruth,child,223,806,0.8864081896525643,0.18918526006012246,0.17974925792199223,0.6550868486352357
roberta-base-10M-1,mlm,Ruth,mother,692,4656,0.8306782931727854,0.33926126402520396,0.32833336026134696,0.6855670103092784
roberta-base-10M-1,mlm,Warren,child,433,2683,0.8232079916114932,0.2928969975576895,0.3318897132013242,0.6783451360417443
roberta-base-10M-1,mlm,Warren,mother,838,6159,0.7753527080956385,0.33190556367226715,0.39564022978900554,0.6496184445526871
