model_name,model_type,child_name,speaker,N,S,emp_bias,empirical,naive_predicted,accuracy
roberta-base-1B-1,mlm,Anne,child,356,1275,0.7732448140907827,0.3419716876078534,0.2484877491474894,0.7843137254901961
roberta-base-1B-1,mlm,Anne,mother,698,6140,0.7151851540325197,0.47588860003135663,0.5028263031326823,0.7449511400651466
roberta-base-1B-1,mlm,Aran,child,411,2004,0.7051253575783717,0.37847857025791837,0.3518079876181558,0.7634730538922155
roberta-base-1B-1,mlm,Aran,mother,1038,8432,0.7239562206032891,0.4168496212053731,0.45422065308846327,0.7775142314990512
roberta-base-1B-1,mlm,Becky,child,390,1564,0.7994072672611793,0.3379081162586072,0.25389715935876095,0.8254475703324808
roberta-base-1B-1,mlm,Becky,mother,605,3754,0.7825628493951805,0.38205332139987724,0.3553768062842053,0.754661694192861
roberta-base-1B-1,mlm,Carl,child,412,4041,0.6827132434420029,0.4569360782948012,0.5852231654523443,0.7339767384310815
roberta-base-1B-1,mlm,Carl,mother,512,3838,0.7339172194892782,0.4309111659459579,0.4529847149712536,0.7571651902032308
roberta-base-1B-1,mlm,Dominic,child,153,411,0.8404845759732787,0.20278398735605752,0.1795856715401609,0.8248175182481752
roberta-base-1B-1,mlm,Dominic,mother,540,4238,0.7476443300601012,0.36507534726416324,0.4551724403327707,0.7258140632373761
roberta-base-1B-1,mlm,Gail,child,354,1013,0.8016584127055396,0.2477160318271279,0.19156433305405665,0.8104639684106614
roberta-base-1B-1,mlm,Gail,mother,865,3795,0.7662758620049934,0.32433591594899264,0.2689749525709197,0.7699604743083004
roberta-base-1B-1,mlm,Joel,child,390,1221,0.7949515881973381,0.28259754393531866,0.20822254316179215,0.8058968058968059
roberta-base-1B-1,mlm,Joel,mother,800,3583,0.7812049778114615,0.29861632536465765,0.26729877816641573,0.7809098520792632
roberta-base-1B-1,mlm,John,child,354,1912,0.7241061986614323,0.4140907887838215,0.37703856876605163,0.7625523012552301
roberta-base-1B-1,mlm,John,mother,732,3849,0.7218625230510272,0.3733260365357037,0.34203444486643914,0.7544816835541699
roberta-base-1B-1,mlm,Liz,child,331,1459,0.8056248648621819,0.37390939296866044,0.27537071623712467,0.8163125428375599
roberta-base-1B-1,mlm,Liz,mother,611,3177,0.7884032783101255,0.3585903434885575,0.3055812732753403,0.7714825306893296
roberta-base-1B-1,mlm,Nicole,child,261,770,0.8105813971335819,0.27070163764883703,0.1997086914334583,0.8090909090909091
roberta-base-1B-1,mlm,Nicole,mother,804,4353,0.7705453859119201,0.3653680473612458,0.3184012495781862,0.7764759935676545
roberta-base-1B-1,mlm,Ruth,child,223,806,0.7979768331655841,0.2689248824925607,0.25081805008226754,0.7196029776674938
roberta-base-1B-1,mlm,Ruth,mother,692,4656,0.7634253808734395,0.4071900832452518,0.387032175681783,0.7884450171821306
roberta-base-1B-1,mlm,Warren,child,433,2683,0.7096953465227778,0.3958894911626304,0.4164851111044769,0.7759970182631383
roberta-base-1B-1,mlm,Warren,mother,838,6159,0.7087515733658588,0.40136359501151986,0.44088768188628086,0.7679818152297451
