model_name,model_type,child_name,speaker,N,S,emp_bias,empirical,naive_predicted,accuracy
roberta-base-strict-2023,mlm,Anne,child,356,1275,0.8070714338364706,0.3253297116538493,0.22885580994396995,0.5286274509803922
roberta-base-strict-2023,mlm,Anne,mother,698,6140,0.7922355071300915,0.47693640401093196,0.4407325155669716,0.38061889250814335
roberta-base-strict-2023,mlm,Aran,child,411,2004,0.8229829201172543,0.332237586501331,0.27705975483894824,0.4745508982035928
roberta-base-strict-2023,mlm,Aran,mother,1038,8432,0.8127429248850957,0.3952544551135125,0.3818207486849149,0.41650853889943074
roberta-base-strict-2023,mlm,Becky,child,390,1564,0.8574565422026097,0.2946794120326339,0.21006442458055502,0.6687979539641944
roberta-base-strict-2023,mlm,Becky,mother,605,3754,0.8408802317041444,0.37084482217945486,0.302707625171567,0.5058604155567394
roberta-base-strict-2023,mlm,Carl,child,412,4041,0.8331656606186619,0.40112000913678736,0.4483994588630913,0.4046028210838901
roberta-base-strict-2023,mlm,Carl,mother,512,3838,0.828993896957192,0.38961564612516175,0.36897100907119806,0.4812402292860865
roberta-base-strict-2023,mlm,Dominic,child,153,411,0.8407608034583282,0.19718566913384147,0.1794039896515839,0.7883211678832117
roberta-base-strict-2023,mlm,Dominic,mother,540,4238,0.799903724782127,0.36150581413420235,0.41019348407967604,0.4377064653138273
roberta-base-strict-2023,mlm,Gail,child,354,1013,0.8395716269541347,0.23213615636746235,0.17024034685968448,0.6288252714708786
roberta-base-strict-2023,mlm,Gail,mother,865,3795,0.8082006827355076,0.3267483842761164,0.24359620527724304,0.49407114624505927
roberta-base-strict-2023,mlm,Joel,child,390,1221,0.8406185205150224,0.2519872954805105,0.1812724498512057,0.6003276003276004
roberta-base-strict-2023,mlm,Joel,mother,800,3583,0.8206457666251309,0.304778951483713,0.24117808938779273,0.547306726207089
roberta-base-strict-2023,mlm,John,child,354,1912,0.8314443453220772,0.36493342861514,0.2978123724602485,0.50418410041841
roberta-base-strict-2023,mlm,John,mother,732,3849,0.8060240359474445,0.356248360356569,0.28929495452401166,0.4434918160561185
roberta-base-strict-2023,mlm,Liz,child,331,1459,0.8621504520382968,0.3281178438261263,0.2274331619965825,0.6113776559287183
roberta-base-strict-2023,mlm,Liz,mother,611,3177,0.8401481381655179,0.3437634605267974,0.2636414329028705,0.5231350330500472
roberta-base-strict-2023,mlm,Nicole,child,261,770,0.8374655535137722,0.24774137753276787,0.18333224659183414,0.7337662337662337
roberta-base-strict-2023,mlm,Nicole,mother,804,4353,0.8071994870615969,0.3725413402807637,0.2922038466004898,0.5088444750746611
roberta-base-strict-2023,mlm,Ruth,child,223,806,0.8517104001040399,0.23826809681483063,0.21140215858426006,0.5384615384615384
roberta-base-strict-2023,mlm,Ruth,mother,692,4656,0.839715385121495,0.38307959845165274,0.3188004993802218,0.5032216494845361
roberta-base-strict-2023,mlm,Warren,child,433,2683,0.7805027001713548,0.39526076629855966,0.3696487763809562,0.538948937756243
roberta-base-strict-2023,mlm,Warren,mother,838,6159,0.7593502462155597,0.40472716037475376,0.40802695304995074,0.4317259295340153
