model_name,model_type,child_name,speaker,N,S,emp_bias,empirical,naive_predicted,accuracy
roberta-base-strict-small-2023,mlm,Anne,child,356,1275,0.7795323318298004,0.3537298734484951,0.2450785205962858,0.5270588235294118
roberta-base-strict-small-2023,mlm,Anne,mother,698,6140,0.7842645720135362,0.4928854134333748,0.44841304104987234,0.3713355048859935
roberta-base-strict-small-2023,mlm,Aran,child,411,2004,0.7962907955084745,0.3617146484612713,0.29807583105114477,0.47055888223552894
roberta-base-strict-small-2023,mlm,Aran,mother,1038,8432,0.7933969947567066,0.41624943725979535,0.40057619089122326,0.411646110056926
roberta-base-strict-small-2023,mlm,Becky,child,390,1564,0.7707847916334115,0.3843808455731956,0.27135433563945993,0.671994884910486
roberta-base-strict-small-2023,mlm,Becky,mother,605,3754,0.7672176434899488,0.4363600303529956,0.36684442680842827,0.5058604155567394
roberta-base-strict-small-2023,mlm,Carl,child,412,4041,0.7179828276732367,0.4888546437421016,0.5627942522475035,0.425142291512002
roberta-base-strict-small-2023,mlm,Carl,mother,512,3838,0.7314110498311042,0.4638521209677189,0.45467597369598534,0.4867118290776446
roberta-base-strict-small-2023,mlm,Dominic,child,153,411,0.7860416041379179,0.2435034612989012,0.21109686298918043,0.7883211678832117
roberta-base-strict-small-2023,mlm,Dominic,mother,540,4238,0.784104653030984,0.3918908933850808,0.425114916340152,0.43227937706465314
roberta-base-strict-small-2023,mlm,Gail,child,354,1013,0.7750597906762259,0.28414753529946707,0.2043887793917969,0.6219151036525172
roberta-base-strict-small-2023,mlm,Gail,mother,865,3795,0.78080054687955,0.352028371815376,0.2607650658659935,0.4932806324110672
roberta-base-strict-small-2023,mlm,Joel,child,390,1221,0.772090785107434,0.3158445125629651,0.21965801027176465,0.6003276003276004
roberta-base-strict-small-2023,mlm,Joel,mother,800,3583,0.7836570761852104,0.33323315473087206,0.2658169863316221,0.548144013396595
roberta-base-strict-small-2023,mlm,John,child,354,1912,0.7757777008605482,0.423026224345762,0.3442501601194434,0.5010460251046025
roberta-base-strict-small-2023,mlm,John,mother,732,3849,0.7890668547515983,0.3772209983135396,0.3017926310753651,0.4427123928293063
roberta-base-strict-small-2023,mlm,Liz,child,331,1459,0.7866890414574907,0.41409261496656646,0.2886695168354541,0.6113776559287183
roberta-base-strict-small-2023,mlm,Liz,mother,611,3177,0.782694240573482,0.39597787558800046,0.30958506181834516,0.5237645577588921
roberta-base-strict-small-2023,mlm,Nicole,child,261,770,0.7772873916343587,0.30216473636004765,0.21728379092973624,0.7285714285714285
roberta-base-strict-small-2023,mlm,Nicole,mother,804,4353,0.7859395462768514,0.39364442413301703,0.30797636965907665,0.5083850218240294
roberta-base-strict-small-2023,mlm,Ruth,child,223,806,0.8175805277837456,0.2708915805578107,0.23761431947589465,0.5421836228287841
roberta-base-strict-small-2023,mlm,Ruth,mother,692,4656,0.8230444528964485,0.40325916187064376,0.3360491065673995,0.5012886597938144
roberta-base-strict-small-2023,mlm,Warren,child,433,2683,0.7651200918316878,0.41694220891871026,0.3813626926944613,0.519194931047335
roberta-base-strict-small-2023,mlm,Warren,mother,838,6159,0.7654462864461007,0.4107344129732068,0.4034296200482214,0.4151647994804351
