model_name,model_type,child_name,speaker,N,S,emp_bias,empirical,naive_predicted,accuracy
roberta-base,mlm,Anne,child,356,1275,0.7865674789243005,0.336135539067299,0.24113769828800857,0.8807843137254902
roberta-base,mlm,Anne,mother,698,6140,0.7750312188912877,0.4463753948608292,0.4569148638420732,0.8899022801302932
roberta-base,mlm,Aran,child,411,2004,0.7357173954113466,0.35847705231814886,0.3365553233850177,0.845309381237525
roberta-base,mlm,Aran,mother,1038,8432,0.7561917800711218,0.3917231916141405,0.4317638047625586,0.8912476280834914
roberta-base,mlm,Becky,child,390,1564,0.7981869161798292,0.3270859036860051,0.25469230330046855,0.8734015345268542
roberta-base,mlm,Becky,mother,605,3754,0.7899151143372316,0.3744001494218623,0.3495575928015445,0.8798614810868407
roberta-base,mlm,Carl,child,412,4041,0.7064398360619655,0.45021776268073005,0.5706770157243395,0.8225686711210096
roberta-base,mlm,Carl,mother,512,3838,0.7409413384071408,0.4270817871746483,0.448118214841669,0.8668577384054195
roberta-base,mlm,Dominic,child,153,411,0.8091887723534389,0.20158512771063725,0.1986908495615419,0.8369829683698297
roberta-base,mlm,Dominic,mother,540,4238,0.7458480607720683,0.35596057490277533,0.45650745269386095,0.8716375648890986
roberta-base,mlm,Gail,child,354,1013,0.8108272880761598,0.2484171420755839,0.18675316097125239,0.8864758144126358
roberta-base,mlm,Gail,mother,865,3795,0.7928628649090259,0.30407601614335733,0.25348765485564556,0.8932806324110671
roberta-base,mlm,Joel,child,390,1221,0.8235456052843237,0.2545140751887441,0.1920402600531785,0.8894348894348895
roberta-base,mlm,Joel,mother,800,3583,0.7998706053574337,0.27905466220595576,0.25555943188539,0.8961763885012559
roberta-base,mlm,John,child,354,1912,0.7338596058307206,0.40324478448576667,0.3715157585417203,0.825836820083682
roberta-base,mlm,John,mother,732,3849,0.7422740117777776,0.35957662878646496,0.3312575780442964,0.8921797869576513
roberta-base,mlm,Liz,child,331,1459,0.8173250372395349,0.34858843959274727,0.26651499424303104,0.8855380397532556
roberta-base,mlm,Liz,mother,611,3177,0.7994712362916504,0.3405706718477636,0.29748901845390896,0.8835379288637079
roberta-base,mlm,Nicole,child,261,770,0.7778260055103579,0.2956951684406277,0.21702128653542063,0.8376623376623377
roberta-base,mlm,Nicole,mother,804,4353,0.7886757416959119,0.34496017853754996,0.30603822676735787,0.8883528600964852
roberta-base,mlm,Ruth,child,223,806,0.7752455972180023,0.27562897138888887,0.2646339765861539,0.8064516129032258
roberta-base,mlm,Ruth,mother,692,4656,0.7663029765116594,0.38732036706322526,0.3849116439471299,0.8891752577319587
roberta-base,mlm,Warren,child,433,2683,0.7339701709004256,0.3814306228475298,0.4023912456642217,0.8471859858367499
roberta-base,mlm,Warren,mother,838,6159,0.7384516675579366,0.3667637573246995,0.4227083835598637,0.8834226335444065
