model_name,model_type,child_name,speaker,N,S,emp_bias,empirical,naive_predicted,accuracy
roberta-large,mlm,Anne,child,356,1275,0.7722055893673883,0.34995826902590704,0.24904117426095898,0.8454901960784313
roberta-large,mlm,Anne,mother,698,6140,0.7590003863240654,0.44646158588180107,0.4707191353564353,0.8721498371335505
roberta-large,mlm,Aran,child,411,2004,0.7151885995377517,0.37128999916947747,0.34707378916719517,0.8328343313373253
roberta-large,mlm,Aran,mother,1038,8432,0.7486916538516412,0.3831470014948794,0.4373447766106984,0.8904174573055028
roberta-large,mlm,Becky,child,390,1564,0.7918605403790077,0.3370610626485405,0.2587396290993421,0.8593350383631714
roberta-large,mlm,Becky,mother,605,3754,0.7829046813554762,0.3609988146052871,0.3551110213763258,0.864411294619073
roberta-large,mlm,Carl,child,412,4041,0.683384786734152,0.44153149633769523,0.5848409666025286,0.7960900767136847
roberta-large,mlm,Carl,mother,512,3838,0.736945169366768,0.4175711523090054,0.4509098605504168,0.8595622720166753
roberta-large,mlm,Dominic,child,153,411,0.8154081595030975,0.20769645452312588,0.19511747099257262,0.8491484184914841
roberta-large,mlm,Dominic,mother,540,4238,0.7415959674463076,0.3512490360161419,0.4596161690887326,0.8440302029259085
roberta-large,mlm,Gail,child,354,1013,0.8065029965200526,0.24850949283573057,0.18904830776492626,0.861796643632774
roberta-large,mlm,Gail,mother,865,3795,0.7866254592115599,0.3063706087483201,0.257304255591519,0.8808959156785243
roberta-large,mlm,Joel,child,390,1221,0.8061000476653859,0.26953337245867537,0.20217395241921357,0.8533988533988534
roberta-large,mlm,Joel,mother,800,3583,0.7973045539198933,0.2744790028017832,0.2572372873918165,0.8866871336868546
roberta-large,mlm,John,child,354,1912,0.7207682326913128,0.41503110151830047,0.37886175622967794,0.8091004184100419
roberta-large,mlm,John,mother,732,3849,0.7326978407660418,0.3601303303921171,0.3364607733890164,0.8862042088854248
roberta-large,mlm,Liz,child,331,1459,0.8088863481751666,0.3594513931895227,0.2729529047689612,0.8684030157642221
roberta-large,mlm,Liz,mother,611,3177,0.8048153148384629,0.3323686937317336,0.29342049356069844,0.8725212464589235
roberta-large,mlm,Nicole,child,261,770,0.772017082608493,0.30446659478940236,0.21981640887507034,0.8311688311688312
roberta-large,mlm,Nicole,mother,804,4353,0.7872368436963798,0.3465635070547646,0.30706073020492747,0.8766368022053757
roberta-large,mlm,Ruth,child,223,806,0.7865018686380804,0.2737465311153984,0.25798411408391847,0.7555831265508685
roberta-large,mlm,Ruth,mother,692,4656,0.7606777024157951,0.3900405540650317,0.3890276136256713,0.8790807560137457
roberta-large,mlm,Warren,child,433,2683,0.7157121080318358,0.391251542502526,0.41316901173926335,0.8192322027581066
roberta-large,mlm,Warren,mother,838,6159,0.7267759865343351,0.36826239860977705,0.4302171177280582,0.8766033446988147
