model_name,model_type,child_name,speaker,N,S,emp_bias,empirical,naive_predicted,accuracy
roberta-med-small-1M-3,mlm,Anne,child,356,1275,0.8005523231876094,0.3026934636235334,0.23289321487222436,0.5592156862745098
roberta-med-small-1M-3,mlm,Anne,mother,698,6140,0.7553209699689464,0.4352655404133904,0.4737234752667597,0.46986970684039087
roberta-med-small-1M-3,mlm,Aran,child,411,2004,0.7871276009119252,0.32575811166342705,0.30467552783784785,0.5064870259481038
roberta-med-small-1M-3,mlm,Aran,mother,1038,8432,0.7445016479099456,0.40034145653845093,0.4403662326578135,0.4881404174573055
roberta-med-small-1M-3,mlm,Becky,child,390,1564,0.7960468029722876,0.31667829084406385,0.25607540744335733,0.6636828644501279
roberta-med-small-1M-3,mlm,Becky,mother,605,3754,0.7679495891120809,0.3685571660756399,0.36631761566001336,0.5487480021310602
roberta-med-small-1M-3,mlm,Carl,child,412,4041,0.7606584696161519,0.3844620395003029,0.5286079906058898,0.473645137342242
roberta-med-small-1M-3,mlm,Carl,mother,512,3838,0.750567447032712,0.385776673701622,0.4411392839261948,0.52892131318395
roberta-med-small-1M-3,mlm,Dominic,child,153,411,0.7539449482048034,0.22233558050989202,0.2261561721393154,0.7128953771289538
roberta-med-small-1M-3,mlm,Dominic,mother,540,4238,0.7327040698959273,0.3668196932944817,0.46588736326936936,0.5335063709296838
roberta-med-small-1M-3,mlm,Gail,child,354,1013,0.7987207816960656,0.24181424363445625,0.19306204372664623,0.6347482724580454
roberta-med-small-1M-3,mlm,Gail,mother,865,3795,0.748575569005406,0.32232017775342875,0.27820714321611123,0.5567852437417655
roberta-med-small-1M-3,mlm,Joel,child,390,1221,0.7964452578503903,0.2636343636406922,0.20743070792792034,0.5896805896805897
roberta-med-small-1M-3,mlm,Joel,mother,800,3583,0.7652092103876932,0.29307877947295935,0.27653713036982586,0.579123639408317
roberta-med-small-1M-3,mlm,John,child,354,1912,0.762529747382762,0.3637386329304606,0.3535149637535846,0.5376569037656904
roberta-med-small-1M-3,mlm,John,mother,732,3849,0.7563128696833951,0.35004765690329137,0.32314160973514255,0.5006495193556768
roberta-med-small-1M-3,mlm,Liz,child,331,1459,0.8055585322038984,0.3417498588266878,0.2754194907282897,0.6189170664838931
roberta-med-small-1M-3,mlm,Liz,mother,611,3177,0.7744735089535656,0.35209094802434576,0.3151538528734606,0.5637393767705382
roberta-med-small-1M-3,mlm,Nicole,child,261,770,0.818907941226259,0.22156972197819982,0.19485901460827124,0.7038961038961039
roberta-med-small-1M-3,mlm,Nicole,mother,804,4353,0.773700345317415,0.34880421428486585,0.3163296797678347,0.5414656558695152
roberta-med-small-1M-3,mlm,Ruth,child,223,806,0.8266106422677272,0.23396063603739756,0.23109772623731856,0.5570719602977667
roberta-med-small-1M-3,mlm,Ruth,mother,692,4656,0.7652007184796993,0.39499375152916394,0.38572764914123475,0.5425257731958762
roberta-med-small-1M-3,mlm,Warren,child,433,2683,0.7380020344840251,0.3782776388166198,0.39986184010794473,0.5676481550503168
roberta-med-small-1M-3,mlm,Warren,mother,838,6159,0.7290342685085933,0.37087336126783665,0.42880220646054495,0.4898522487416788
