,speaker,N,S,emp_bias,r,empirical,naive_zipf_predicted
0,Gail,353,996,0.8714859437751004,2.821529745042493,0.1954674220963173,0.14721941052696233
1,Gail_mot,853,3727,0.8371344244700831,4.369284876905041,0.26260257913247365,0.2223940123372158
2,Dominic,156,419,0.883054892601432,2.6858974358974357,0.14743589743589744,0.14805099357742516
3,Dominic_mot,538,4216,0.7926944971537002,7.836431226765799,0.2843866171003718,0.4168726759173041
4,Becky,386,1546,0.8499353169469599,4.005181347150259,0.2927461139896373,0.2165155343424449
5,Becky_mot,600,3722,0.8280494357872111,6.203333333333333,0.3283333333333333,0.31588024749183075
6,Liz,335,1460,0.8650684931506849,4.358208955223881,0.24776119402985075,0.22214058765747835
7,Liz_mot,603,3135,0.8328548644338118,5.199004975124378,0.2835820895522388,0.27059429697255727
8,Carl,414,4024,0.7698807157057654,9.719806763285025,0.40096618357487923,0.5169177413908186
9,Carl_mot,505,3786,0.7897517168515584,7.4970297029702975,0.35247524752475246,0.40935844862232695
10,Joel,388,1204,0.882890365448505,3.1030927835051547,0.2036082474226804,0.14933495782996872
11,Joel_mot,790,3506,0.8397033656588705,4.4379746835443035,0.23544303797468355,0.22523940287661032
12,Ruth,222,764,0.819371727748691,3.4414414414414414,0.22972972972972974,0.22691159788353166
13,Ruth_mot,699,4595,0.8030467899891186,6.573676680972818,0.32761087267525035,0.3483978250139021
14,Aran,416,1987,0.7946653246099648,4.7764423076923075,0.27884615384615385,0.2939754550193264
15,Aran_mot,1020,8402,0.8029040704594145,8.237254901960783,0.32745098039215687,0.3961674465667675
16,Anne,360,1254,0.8341307814992025,3.4833333333333334,0.28888888888888886,0.20544658558178006
17,Anne_mot,700,6117,0.8345594245545201,8.73857142857143,0.38,0.3921362694666848
18,John,355,1919,0.7879103699843668,5.405633802816902,0.30140845070422534,0.3353080405257672
19,John_mot,741,3852,0.7923156801661475,5.198380566801619,0.33468286099865047,0.29637028485698425
20,Nicole,265,770,0.8688311688311688,2.9056603773584904,0.2188679245283019,0.158865031692699
21,Nicole_mot,804,4319,0.8335262792313035,5.371890547263682,0.277363184079602,0.26853479933643126
22,Warren,439,2686,0.7788533134772897,6.118451025056948,0.3120728929384966,0.3669164142837084
23,Warren_mot,831,6146,0.7954767328343638,7.395908543922984,0.3176895306859206,0.38059113934693756
