model_name,model_type,child_name,speaker,N,S,emp_bias,empirical,naive_predicted,accuracy
t5-base-strict-small-2023,seq2seq,Anne,child,356,1275,0.6518495770113425,0.42740953932915043,0.2962063518961004,0.48549019607843136
t5-base-strict-small-2023,seq2seq,Anne,mother,698,6140,0.6506008739981067,0.5618148502781568,0.5371791801836926,0.6400651465798045
t5-base-strict-small-2023,seq2seq,Aran,child,411,2004,0.6842180771911528,0.43691762312099935,0.3607968446752068,0.5369261477045908
t5-base-strict-small-2023,seq2seq,Aran,mother,1038,8432,0.6774086490580771,0.48734229281953206,0.48014908911453213,0.5996204933586338
t5-base-strict-small-2023,seq2seq,Becky,child,390,1564,0.6446703538918377,0.448104833209445,0.32326826549490645,0.3459079283887468
t5-base-strict-small-2023,seq2seq,Becky,mother,605,3754,0.6384286175922063,0.5006567007721029,0.4327612769125671,0.5119872136387853
t5-base-strict-small-2023,seq2seq,Carl,child,412,4041,0.7146237484546505,0.505364062592031,0.5651446262157614,0.6080178173719376
t5-base-strict-small-2023,seq2seq,Carl,mother,512,3838,0.6857608319420265,0.48959636768302983,0.48157828254571916,0.5297029702970297
t5-base-strict-small-2023,seq2seq,Dominic,child,153,411,0.6553910990136249,0.2992740787023126,0.25918226921566817,0.20924574209245742
t5-base-strict-small-2023,seq2seq,Dominic,mother,540,4238,0.6556002923894669,0.4583752889436281,0.508454649853993,0.573147711184521
t5-base-strict-small-2023,seq2seq,Gail,child,354,1013,0.6352541224081869,0.34810552119687,0.24886381250780001,0.4067127344521224
t5-base-strict-small-2023,seq2seq,Gail,mother,865,3795,0.6297481320452245,0.4239326120634417,0.3212211817793855,0.5238471673254282
t5-base-strict-small-2023,seq2seq,Joel,child,390,1221,0.6167728245291082,0.382986272111867,0.2690352667425374,0.43161343161343163
t5-base-strict-small-2023,seq2seq,Joel,mother,800,3583,0.6146946166431786,0.4043913340526132,0.3328132454102277,0.47753279374825564
t5-base-strict-small-2023,seq2seq,John,child,354,1912,0.6758020868504057,0.48798566689784967,0.400275817191505,0.5047071129707112
t5-base-strict-small-2023,seq2seq,John,mother,732,3849,0.6681750780287661,0.44824365536818045,0.3650673399427638,0.567160301376981
t5-base-strict-small-2023,seq2seq,Liz,child,331,1459,0.6448330519952433,0.505333109584079,0.3553570520209208,0.4153529814941741
t5-base-strict-small-2023,seq2seq,Liz,mother,611,3177,0.6408780229125208,0.469098050059872,0.37807576587389313,0.49260308467107333
t5-base-strict-small-2023,seq2seq,Nicole,child,261,770,0.6248284438313418,0.37446528537235924,0.26780846991182505,0.3142857142857143
t5-base-strict-small-2023,seq2seq,Nicole,mother,804,4353,0.61819279620199,0.4698450198706932,0.3850545213325986,0.518263266712612
t5-base-strict-small-2023,seq2seq,Ruth,child,223,806,0.6342909781028705,0.3597558790098051,0.3212333820629123,0.47270471464019853
t5-base-strict-small-2023,seq2seq,Ruth,mother,692,4656,0.6238410129858156,0.5158462129361644,0.45725448138030195,0.5184707903780069
t5-base-strict-small-2023,seq2seq,Warren,child,433,2683,0.6992578905573137,0.46066182071147255,0.42197010707933846,0.49534103615355946
t5-base-strict-small-2023,seq2seq,Warren,mother,838,6159,0.6936864801969808,0.4563890516734798,0.44898769851833115,0.5962006819288845
