model_name,model_type,child_name,speaker,N,S,emp_bias,empirical,naive_predicted,accuracy
t5-base,seq2seq,Anne,child,356,1275,0.7696344654359012,0.3404278899389159,0.250398272436978,0.8658823529411764
t5-base,seq2seq,Anne,mother,698,6140,0.7821296348992873,0.4491194703275907,0.4504159153367095,0.8970684039087948
t5-base,seq2seq,Aran,child,411,2004,0.7333193946060489,0.359911024645136,0.337845260022567,0.8552894211576846
t5-base,seq2seq,Aran,mother,1038,8432,0.7601340581737441,0.38473653884233816,0.4287396828001243,0.9023956356736242
t5-base,seq2seq,Becky,child,390,1564,0.7546169648715201,0.3755367727614797,0.28017629600027766,0.8491048593350383
t5-base,seq2seq,Becky,mother,605,3754,0.7798265817178937,0.3867401191180782,0.3574878206971676,0.895045285029302
t5-base,seq2seq,Carl,child,412,4041,0.7276708479389966,0.4524708788584154,0.5557491379897758,0.8629052214798317
t5-base,seq2seq,Carl,mother,512,3838,0.737712655079786,0.4301557848272033,0.45037843993777477,0.8866597186034393
t5-base,seq2seq,Dominic,child,153,411,0.7418053912877541,0.2480943966389996,0.23125426606052044,0.8102189781021898
t5-base,seq2seq,Dominic,mother,540,4238,0.7455651804078014,0.3720722605379273,0.4567165096249907,0.8940537989617744
t5-base,seq2seq,Gail,child,354,1013,0.788139562950269,0.2755847639422982,0.19828638675286456,0.8696939782823297
t5-base,seq2seq,Gail,mother,865,3795,0.7851572844426704,0.3153508450261055,0.25818586901995766,0.8948616600790514
t5-base,seq2seq,Joel,child,390,1221,0.8046399346728073,0.2785477586307818,0.20298455437357682,0.864045864045864
t5-base,seq2seq,Joel,mother,800,3583,0.7847399485819333,0.29317004553210374,0.26515691770034616,0.9009210159084566
t5-base,seq2seq,John,child,354,1912,0.7254172971050145,0.4167668240355547,0.3763131982202785,0.856694560669456
t5-base,seq2seq,John,mother,732,3849,0.7482454741991913,0.36066666133018194,0.32787757666476613,0.897116134060795
t5-base,seq2seq,Liz,child,331,1459,0.7792519903060223,0.3873891232965507,0.29356278419090787,0.864290610006854
t5-base,seq2seq,Liz,mother,611,3177,0.7844557734061212,0.3507719214057181,0.30836178391005437,0.8873150771167768
t5-base,seq2seq,Nicole,child,261,770,0.7429803038598676,0.3347075980741067,0.23264608163805056,0.7987012987012987
t5-base,seq2seq,Nicole,mother,804,4353,0.7833169882595917,0.3449589966870341,0.30980945083235556,0.9030553641167012
t5-base,seq2seq,Ruth,child,223,806,0.7356027717730801,0.2995397256901247,0.2852875741787106,0.8052109181141439
t5-base,seq2seq,Ruth,mother,692,4656,0.7535734929330229,0.39680483944748307,0.3940561507426953,0.9020618556701031
t5-base,seq2seq,Warren,child,433,2683,0.7316519243501703,0.39441776751008006,0.40382070810607457,0.8524040253447633
t5-base,seq2seq,Warren,mother,838,6159,0.7504404689872368,0.36417476237377805,0.4144865778865591,0.8973859392758565
