model_name,model_type,child_name,speaker,tpr_overall,tpr_the,tpr_a,n_total,n_previous_a,n_previous_the
BabyLM-2026-Baseline-GPT2-Strict,ar,Gail,mother,0.45106805107886655,0.5551919061463945,0.2513202474799352,286,188,98
BabyLM-2026-Baseline-GPT2-Strict,ar,Gail,child,0.39475303535580586,0.44955274840959397,0.31756204169939456,224,131,93
BabyLM-2026-Baseline-GPT2-Strict,ar,Dominic,child,0.4410931325125902,0.48258274947223057,0.3551503545247634,172,116,56
BabyLM-2026-Baseline-GPT2-Strict,ar,Dominic,mother,0.4685238501521389,0.5320569666901771,0.24073438354014837,188,147,41
BabyLM-2026-Baseline-GPT2-Strict,ar,Becky,mother,0.43322266038099777,0.5285752205582553,0.24914632763238834,548,361,187
BabyLM-2026-Baseline-GPT2-Strict,ar,Becky,child,0.39938832690376624,0.4633073043502754,0.3127884219762377,438,252,186
BabyLM-2026-Baseline-GPT2-Strict,ar,Liz,mother,0.4035584938927877,0.4924229277167395,0.22647827174724877,410,273,137
BabyLM-2026-Baseline-GPT2-Strict,ar,Liz,child,0.3976052853719327,0.4981227282049593,0.2577829450208635,373,217,156
BabyLM-2026-Baseline-GPT2-Strict,ar,Carl,mother,0.37608709454811834,0.5558876625006501,0.23314564302585533,1077,477,600
BabyLM-2026-Baseline-GPT2-Strict,ar,Carl,child,0.38463054192583046,0.5587750127424693,0.2405592126558402,910,412,498
BabyLM-2026-Baseline-GPT2-Strict,ar,Joel,child,0.39066125990487355,0.5162895367780508,0.24973210315611688,331,175,156
BabyLM-2026-Baseline-GPT2-Strict,ar,Joel,mother,0.4131029381625888,0.5500495943618904,0.19157158254607148,445,275,170
BabyLM-2026-Baseline-GPT2-Strict,ar,Ruth,mother,0.39646323589383864,0.550520431272243,0.20107362224317946,372,208,164
BabyLM-2026-Baseline-GPT2-Strict,ar,Ruth,child,0.3928428840841079,0.5327725887508193,0.26537267366854206,279,133,146
BabyLM-2026-Baseline-GPT2-Strict,ar,Aran,mother,0.3695834710015061,0.5417294425311817,0.2192546104469457,1079,503,576
BabyLM-2026-Baseline-GPT2-Strict,ar,Aran,child,0.382902802920401,0.5399285641696997,0.2929978572639398,802,292,510
BabyLM-2026-Baseline-GPT2-Strict,ar,Anne,mother,0.35829924238431976,0.552602612982115,0.1737975254962055,657,320,337
BabyLM-2026-Baseline-GPT2-Strict,ar,Anne,child,0.3406609039645288,0.494915719639048,0.21847339764170176,500,221,279
BabyLM-2026-Baseline-GPT2-Strict,ar,John,mother,0.3914874764462485,0.619414411116184,0.1897026991578108,526,247,279
BabyLM-2026-Baseline-GPT2-Strict,ar,John,child,0.39476484927834715,0.5840776286751491,0.27741685930978144,473,181,292
BabyLM-2026-Baseline-GPT2-Strict,ar,Nicole,mother,0.4544913098913669,0.5275679345869628,0.21277632051362663,280,215,65
BabyLM-2026-Baseline-GPT2-Strict,ar,Nicole,child,0.4223364699363769,0.4818005706197297,0.3368568252040573,234,138,96
BabyLM-2026-Baseline-GPT2-Strict,ar,Warren,mother,0.3937220235327977,0.5771811058047948,0.20633448125497644,944,477,467
BabyLM-2026-Baseline-GPT2-Strict,ar,Warren,child,0.3778675961016148,0.5130186179414289,0.2949820084889163,826,314,512
BabyLM-2026-Baseline-GPT2-Strict-Small,ar,Gail,mother,0.4013939242897835,0.3894521650412371,0.424302605297199,286,188,98
BabyLM-2026-Baseline-GPT2-Strict-Small,ar,Gail,child,0.3434164108988945,0.28714091917978635,0.4226861895569934,224,131,93
BabyLM-2026-Baseline-GPT2-Strict-Small,ar,Dominic,child,0.4268727088887147,0.4113025995495955,0.4591250782340329,172,116,56
BabyLM-2026-Baseline-GPT2-Strict-Small,ar,Dominic,mother,0.3214941496577846,0.2994898323511807,0.40038767756195004,188,147,41
BabyLM-2026-Baseline-GPT2-Strict-Small,ar,Becky,mother,0.3512442403220785,0.33198561131883236,0.3884226631572223,548,361,187
BabyLM-2026-Baseline-GPT2-Strict-Small,ar,Becky,child,0.3738085997893947,0.3231864389078009,0.44239346291929604,438,252,186
BabyLM-2026-Baseline-GPT2-Strict-Small,ar,Liz,mother,0.36894126522493426,0.37206711940377013,0.3627123733211225,410,273,137
BabyLM-2026-Baseline-GPT2-Strict-Small,ar,Liz,child,0.3349699128033432,0.31703140743173325,0.3599228337369289,373,217,156
BabyLM-2026-Baseline-GPT2-Strict-Small,ar,Carl,mother,0.3797775008734659,0.35285793156262957,0.4011785584755809,1077,477,600
