dist,children,caretakers,other_adult,all
1,1067,3012,207,4286
2,533,909,108,1550
3-5,706,690,151,1547
6-10,423,341,93,857
11-20,434,312,90,836
21-50,568,390,143,1101
51-100,432,301,113,846
101-150,240,153,83,476
151-200,190,110,81,381
201-250,134,90,63,287
251-300,109,57,62,228
301-350,98,84,46,228
351-400,72,44,35,151
401-450,71,39,41,151
451-500,56,42,24,122
501-550,64,40,32,136
551-600,48,22,24,94
601-650,48,19,24,91
651-700,38,22,24,84
701-750,44,21,12,77
751-800,27,27,19,73
801-850,24,20,12,56
851-900,24,11,15,50
901-950,22,11,11,44
951-1000,12,4,14,30
1001-1050,20,6,12,38
1051-1100,8,9,12,29
1101-1150,9,7,5,21
1151-1200,9,2,5,16
1201-1250,6,7,6,19
1251-1300,7,2,5,14
1301-1350,2,2,1,5
1351-1400,5,2,3,10
1401-1450,8,1,7,16
1451-1500,1,1,2,4
1501-1550,0,1,4,5
1551-1600,0,0,5,5
1601-1650,2,0,3,5
1651-1700,0,1,3,4
1701-1750,1,0,1,2
1751-1800,0,0,4,4
1801-1850,0,0,1,1
1851-1900,0,0,0,0
1901-1950,0,0,0,0
1951-2000,0,0,1,1
2001-2050,0,0,0,0
2051-2100,0,0,0,0
2101-2150,0,0,1,1
2151-2200,0,0,0,0
2201-2250,0,0,0,0
2251-2300,0,0,1,1
2301-2350,0,0,0,0
2351-2400,0,0,1,1
2401-2450,0,0,0,0
2451-2500,0,0,1,1
2501-2550,0,0,0,0
2551-2600,0,0,0,0
2601-2650,0,0,0,0
2651-2700,0,0,1,1
2701-2750,0,0,0,0
2751-2800,0,0,0,0
2801-2850,0,0,0,0
2851-2900,0,0,0,0
2901-2950,0,0,0,0
2951-3000,0,0,0,0
3001-3050,0,0,0,0
3051-3100,0,0,1,1
3101-3150,0,0,0,0
3151-3200,0,0,0,0
3201-3250,0,0,0,0
3251-3300,0,0,0,0
3301-3350,0,0,0,0
3351-3400,0,0,0,0
3401-3450,0,0,0,0
3451-3500,0,0,0,0
3501-3550,0,0,0,0
3551-3600,0,0,1,1
3601-3650,0,0,0,0
3651-3700,0,0,1,1
