child_name,filename,speaker,source,model_name,model_type,n_unique_nouns_in_session,tpr_the,tpr_a,tpr_overall,n_transitions_to_the,n_transitions_to_a,n_previous_a,n_previous_the,n_maintained,n_total,tpr
Gail,./data/CHILDES/Manchester/Gail/020609.cha,child,human,Human,baseline_unrestricted,64,0.0,0.0,0.0,0,0,2,2,4,4,0.0
Gail,./data/CHILDES/Manchester/Gail/020609.cha,mother,human,Human,baseline_unrestricted,64,0.0,0.0,0.0,0,0,6,1,7,7,0.0
Gail,./data/CHILDES/Manchester/Gail/020609.cha,other_adult,human,Human,baseline_unrestricted,64,,,,0,0,0,0,0,0,
Gail,./data/CHILDES/Manchester/Gail/020806.cha,child,human,Human,baseline_unrestricted,111,0.2727272727272727,0.26666666666666666,0.2692307692307692,3,4,11,15,19,26,0.2692307692307692
Gail,./data/CHILDES/Manchester/Gail/020806.cha,mother,human,Human,baseline_unrestricted,111,0.26666666666666666,0.4166666666666667,0.3333333333333333,4,5,15,12,18,27,0.3333333333333333
Gail,./data/CHILDES/Manchester/Gail/020806.cha,other_adult,human,Human,baseline_unrestricted,111,,,,0,0,0,0,0,0,
Gail,./data/CHILDES/Manchester/Gail/020813.cha,child,human,Human,baseline_unrestricted,99,0.3333333333333333,0.5,0.42857142857142855,1,2,3,4,4,7,0.42857142857142855
Gail,./data/CHILDES/Manchester/Gail/020813.cha,mother,human,Human,baseline_unrestricted,99,0.4,0.3333333333333333,0.375,2,1,5,3,5,8,0.375
Gail,./data/CHILDES/Manchester/Gail/020813.cha,other_adult,human,Human,baseline_unrestricted,99,,,,0,0,0,0,0,0,
Gail,./data/CHILDES/Manchester/Gail/021112.cha,child,human,Human,baseline_unrestricted,110,0.25,0.0,0.15384615384615385,2,0,8,5,11,13,0.15384615384615385
Gail,./data/CHILDES/Manchester/Gail/021112.cha,mother,human,Human,baseline_unrestricted,110,0.1111111111111111,0.14285714285714285,0.125,1,1,9,7,14,16,0.125
Gail,./data/CHILDES/Manchester/Gail/021112.cha,other_adult,human,Human,baseline_unrestricted,110,,,,0,0,0,0,0,0,
Gail,./data/CHILDES/Manchester/Gail/020226.cha,child,human,Human,baseline_unrestricted,120,0.1111111111111111,0.0,0.08333333333333333,1,0,9,3,11,12,0.08333333333333333
Gail,./data/CHILDES/Manchester/Gail/020226.cha,mother,human,Human,baseline_unrestricted,120,0.14285714285714285,0.25,0.18181818181818182,1,1,7,4,9,11,0.18181818181818182
Gail,./data/CHILDES/Manchester/Gail/020226.cha,other_adult,human,Human,baseline_unrestricted,120,,,,0,0,0,0,0,0,
Gail,./data/CHILDES/Manchester/Gail/020623.cha,child,human,Human,baseline_unrestricted,65,0.25,0.0,0.2,1,0,4,1,4,5,0.2
Gail,./data/CHILDES/Manchester/Gail/020623.cha,mother,human,Human,baseline_unrestricted,65,0.16666666666666666,0.0,0.125,1,0,6,2,7,8,0.125
Gail,./data/CHILDES/Manchester/Gail/020623.cha,other_adult,human,Human,baseline_unrestricted,65,,,,0,0,0,0,0,0,
