model,arch,all_model,all_human,all_p,all_pass,win_model,win_human,win_p,win_pass,n_window,dxn
BabyBERTa-1,mlm,0.49695850837627925,0.2258725305298738,3.046249237967049e-07,False,0.4614389054584141,0.13682296814635803,5.5035519546752326e-09,False,2802,True
BabyBERTa-2,mlm,0.49713856675385354,0.2258725305298738,3.1939086141214517e-07,False,0.46161682897067147,0.13682296814635803,5.7978658628342675e-09,False,2802,True
BabyBERTa-3,mlm,0.49714939156087906,0.2258725305298738,3.177674998841429e-07,False,0.4615900077653876,0.13682296814635803,5.802331490348009e-09,False,2802,True
BabyLM-2026-Baseline-GPT2-Strict,ar,0.3932922573550146,0.2258725305298738,3.205672219664224e-07,False,0.387244692091765,0.19850474071966914,8.147088550823207e-08,False,4309,False
BabyLM-2026-Baseline-GPT2-Strict-Small,ar,0.379436482338535,0.2258725305298738,2.1805570518132635e-09,False,0.38079533528954784,0.19851008031239448,7.356401853821892e-11,False,4304,False
ELC_BERT_baby_100M,mlm,0.29919066343668116,0.2258725305298738,5.956530570476393e-06,False,0.22847138257673025,0.17066698243857126,2.91815288891529e-06,False,3711,True
ELC_BERT_small_baby_10M,mlm,0.49751860861372577,0.2258725305298738,1.0865152609658795e-07,False,0.4730433816114197,0.17069055225385807,5.532821207783875e-09,False,3695,False
baby-llama-58m,ar,0.2705683537452423,0.2258725305298738,7.843997818870313e-06,False,0.17645644094474036,0.13586043581375298,0.0014370896025227297,False,2783,False
babyllama-100m-2024,ar,0.2558222027059267,0.2258725305298738,1.27229576051772e-05,False,0.1722650130521208,0.13813293712723265,1.535058270566836e-05,False,2868,True
babyllama-10m-2024,ar,0.25667106201220696,0.2258725305298738,3.290580420478101e-06,False,0.1713410597926449,0.13817606047522793,0.0001271152746924319,False,2867,True
babylm-baseline-100m-gpt-bert-causal-focus,ar,0.24686881498385496,0.2258725305298738,3.398581008292875e-05,False,0.20021699769119752,0.1752273276789856,2.6036876586672382e-05,False,3795,True
babylm-baseline-100m-gpt-bert-masked-focus,mlm,0.48863195291893313,0.2258725305298738,1.7830185665263355e-07,False,0.46536534961672354,0.1752601305990419,1.3729381328840573e-08,False,3794,False
babylm-baseline-100m-gpt-bert-mixed,ar,0.2505396017892911,0.2258725305298738,6.584085382115079e-05,False,0.20506378528965322,0.1752273276789856,4.382975019110522e-05,False,3795,True
babylm-baseline-100m-gpt-bert-mixed,mlm,0.4850582612470707,0.2258725305298738,2.2585567468497722e-07,False,0.4594232141937627,0.1752601305990419,1.7020036980796686e-08,False,3794,False
babylm-baseline-100m-gpt2,ar,0.40549502362552925,0.2258725305298738,2.7579884736311586e-09,False,0.3940729391092856,0.19641061961164522,1.5801440352489931e-09,False,4239,False
babylm-baseline-10m-gpt-bert-causal-focus,ar,0.2669693253020398,0.2258725305298738,3.79156946382433e-07,False,0.21965155712601594,0.1752273276789856,6.276481604086594e-07,False,3795,True
babylm-baseline-10m-gpt-bert-masked-focus,mlm,0.48806341693543503,0.2258725305298738,1.5853282579066093e-07,False,0.4661922238003438,0.17539419741686257,1.1872718415993164e-08,False,3792,False
babylm-baseline-10m-gpt-bert-mixed,ar,0.26554857579537655,0.2258725305298738,2.69870187818692e-06,False,0.21424343929161038,0.1752273276789856,9.087075324744514e-06,False,3795,True
babylm-baseline-10m-gpt-bert-mixed,mlm,0.4874746080061086,0.2258725305298738,2.419100227080714e-07,False,0.46297018815359475,0.17539419741686257,2.1264714289475502e-08,False,3792,True
babylm-baseline-10m-gpt2,ar,0.38923518119381306,0.2258725305298738,2.9897428447916915e-10,False,0.3826297235254293,0.19569114111325722,1.2258532521914215e-12,False,4236,True
gpt-bert-babylm-base,mlm,0.4413035742092753,0.2258725305298738,2.3690960244603088e-07,False,0.4032071861063324,0.17061904805134206,1.6516277465992264e-08,False,3707,True
gpt-bert-babylm-small,mlm,0.4312445304152604,0.2258725305298738,6.48146868272813e-07,False,0.38740057834262304,0.17059398263824396,3.459647797301982e-08,False,3698,True
gpt2,ar,0.2518603214241117,0.2258725305298738,6.501723386549308e-05,False,0.21588735754718255,0.1932157751321216,0.0011852680550655372,False,4179,False
ltg-bert-babylm,mlm,0.3142416607459676,0.2258725305298738,4.763615958653071e-06,False,0.25257549507046906,0.17066698243857126,1.2325181694180478e-06,False,3711,True
ltg-bert-bnc,mlm,0.2250229301564931,0.2258725305298738,0.8611988466218008,True,0.160797103596117,0.1742397189082541,0.0028602987915169425,False,3772,True
ltgbert-100m-2024,mlm,0.3076471234935077,0.2258725305298738,2.191058444160432e-06,False,0.21427123049660465,0.1424071783526094,1.8741436864265938e-06,False,2942,True
ltgbert-10m-2024,mlm,0.4329283810588092,0.2258725305298738,6.945469014709612e-09,False,0.4018809686936238,0.14224352027776033,6.882018534831199e-11,False,2941,True
opt-125m,ar,0.2506829407924457,0.2258725305298738,0.00034801164312145264,False,0.19521267310272028,0.17143083929260772,0.005171679594415217,False,3720,False
opt-125m-strict-2023,ar,0.42975850172366764,0.2258725305298738,1.3838113625922e-05,False,0.4421107350952645,0.17143083929260772,4.316689954309456e-06,False,3720,False
opt-125m-strict-small-2023,ar,0.36760761120011093,0.2258725305298738,1.0023000089700987e-08,False,0.359337628708309,0.17143083929260772,6.020180462601771e-09,False,3720,False
roberta-base,mlm,0.2387489898775481,0.2258725305298738,0.04225864195365021,False,0.17091403207429687,0.17149541685677397,0.8583039820928395,True,3718,True
roberta-base-100M-1,mlm,0.2673056717047788,0.2258725305298738,0.00021816125572315362,False,0.195927915097711,0.17149541685677397,0.0008380924283495308,False,3718,True
roberta-base-100M-2,mlm,0.2846359697960456,0.2258725305298738,1.2034471746057762e-05,False,0.2155839026543872,0.17149541685677397,8.836119339198592e-07,False,3718,True
roberta-base-100M-3,mlm,0.2819266787379287,0.2258725305298738,3.609799396961421e-05,False,0.2103472251232179,0.17149541685677397,7.187928111565744e-05,False,3718,False
roberta-base-10M-1,mlm,0.36694311637083055,0.2258725305298738,9.123833067753469e-07,False,0.3115105685566299,0.17149541685677397,9.843516639807957e-08,False,3718,True
roberta-base-10M-2,mlm,0.3378099572700414,0.2258725305298738,6.993075665693212e-07,False,0.28798029283636545,0.17149541685677397,1.0178363381795707e-07,False,3718,True
roberta-base-10M-3,mlm,0.34706358089998934,0.2258725305298738,5.152956845488775e-06,False,0.2925172835097657,0.17149541685677397,4.7195617352208383e-07,False,3718,True
