model_name,model_short,model_type,n_model_dyads,mean_model_tpr,sd_model_tpr,n_paired_child_dyads,n_paired_mother_dyads,mean_other_adult_tpr,other_adult_population_mean,onesample_t,p_1sample,welch_t,p_welch_vs_adults,paired_vs_child_t,p_paired_child,paired_vs_mother_t,p_paired_mother
BabyBERTa-1,BabyBERTa-1,mlm,12,0.4969585083762793,0.09999025900661496,12,12,0.23076961559463016,0.2154798761609907,9.751655752979302,9.499561872015858e-07,8.278111826127333,3.1154921256169334e-07,10.920478493784941,3.0462492379670596e-07,9.539134522683913,1.182168032677495e-06
BabyBERTa-2,BabyBERTa-2,mlm,12,0.49713856675385354,0.10047917397081019,12,12,0.23076961559463016,0.2154798761609907,9.710413476167375,9.908393109717632e-07,8.251186624117869,3.3256064773912627e-07,10.869609829952179,3.1939086141214517e-07,9.504105158559371,1.2260179859310647e-06
BabyBERTa-3,BabyBERTa-3,mlm,12,0.4971493915608791,0.10044658900927009,12,12,0.23076961559463016,0.2154798761609907,9.713936857943208,9.87273345058656e-07,8.253682725514508,3.307471716853866e-07,10.875076320819053,3.177674998841423e-07,9.506777220736062,1.2226118984675716e-06
BabyLM-2026-Baseline-GPT2-Strict,BabyLM-2026-Baseline-GPT2-Strict,ar,12,0.39329225735501455,0.024095692410772883,12,12,0.23076961559463016,0.2154798761609907,25.5630818316024,3.788714906175886e-11,10.295221210276292,5.022815534391907e-10,10.865667339213049,3.205672219664236e-07,15.265823213459143,9.471279206201663e-09
BabyLM-2026-Baseline-GPT2-Strict-Small,BabyLM-2026-Baseline-GPT2-Strict-Small,ar,12,0.379436482338535,0.035910334677068965,12,12,0.23076961559463016,0.2154798761609907,15.816125062037257,6.516872330718066e-09,8.467179043949713,4.970604253090205e-09,17.53500001172475,2.180557051813271e-09,17.184893817113117,2.7026013531415986e-09
ELC_BERT_baby_100M,ELC_BERT_baby_100M,mlm,12,0.29919066343668116,0.05756680200781722,12,12,0.23076961559463016,0.2154798761609907,5.037324695695177,0.0003795580072315268,3.1328415630946203,0.004507112378561194,8.077900168705423,5.9565305704763605e-06,5.708425641830814,0.00013648181257045256
ELC_BERT_small_baby_10M,ELC_BERT_small_baby_10M,mlm,12,0.4975186086137258,0.09045162129209229,12,12,0.23076961559463016,0.2154798761609907,10.801473922351239,3.403964988877285e-07,8.978788348311047,6.056309662397904e-08,12.079933959934488,1.0865152609658795e-07,10.37730177744521,5.099918699497997e-07
baby-llama-58m,baby-llama-58m,ar,12,0.2705683537452422,0.04583380022679955,12,12,0.23076961559463016,0.2154798761609907,4.163566695992706,0.0015797965363866455,2.052783454950974,0.050041613939441655,7.8471034995719355,7.84399781887037e-06,5.878088601586066,0.00010644965466539463
babyllama-100m-2024,babyllama-100m-2024,ar,12,0.25582220270592665,0.04964251087883405,12,12,0.23076961559463016,0.2154798761609907,2.8151259085952507,0.0168136330682733,1.2430540681115276,0.22495682569193567,7.453116388100855,1.2722957605177315e-05,4.143705526862098,0.0016337610052977098
babyllama-10m-2024,babyllama-10m-2024,ar,12,0.25667106201220696,0.04759088573916657,12,12,0.23076961559463016,0.2154798761609907,2.998272699077034,0.0121171905070175,1.3123073553402549,0.20073297172496443,8.592536626590029,3.2905804204781133e-06,4.298897798182788,0.0012582786616894407
babylm-baseline-100m-gpt-bert-causal-focus,babylm-baseline-100m-gpt-bert-causal-focus,ar,12,0.2468688149838549,0.04690731496370404,12,12,0.23076961559463016,0.2154798761609907,2.3180707264502485,0.040715941651780496,0.8213671227460295,0.41877529252714707,6.6950643336302615,3.398581008292956e-05,3.6779845062593237,0.0036385902171167904
babylm-baseline-100m-gpt-bert-masked-focus,babylm-baseline-100m-gpt-bert-masked-focus,mlm,12,0.48863195291893313,0.09442687943019107,12,12,0.23076961559463016,0.2154798761609907,10.020733036878097,7.241529000071761e-07,8.393337517985,1.9715758612498787e-07,11.510310103679986,1.783018566526339e-07,9.98323195954216,7.517997969104992e-07
babylm-baseline-100m-gpt-bert-mixed,babylm-baseline-100m-gpt-bert-mixed,ar,12,0.250539601789291,0.045927814301890704,12,12,0.23076961559463016,0.2154798761609907,2.644376921073771,0.022814254839226448,1.01874452227926,0.3174971284180322,6.214093244248879,6.584085382115156e-05,3.943259657587626,0.002299133041703633
babylm-baseline-100m-gpt-bert-mixed,babylm-baseline-100m-gpt-bert-mixed,mlm,12,0.4850582612470707,0.09499170284153066,12,12,0.23076961559463016,0.2154798761609907,9.830826180059136,8.764957230469079e-07,8.238197463060647,2.6217692724350583e-07,11.24669239560773,2.2585567468497804e-07,9.749387856504368,9.521562826153765e-07
babylm-baseline-100m-gpt2,babylm-baseline-100m-gpt2,ar,12,0.4054950236255293,0.04053597131535229,12,12,0.23076961559463016,0.2154798761609907,16.238214057134314,4.931647017198154e-09,9.507302484374948,4.150908488541543e-10,17.152142626910827,2.7579884736311586e-09,12.797026729023836,5.990442849260348e-08
babylm-baseline-10m-gpt-bert-causal-focus,babylm-baseline-10m-gpt-bert-causal-focus,ar,12,0.2669693253020398,0.048099437057251525,12,12,0.23076961559463016,0.2154798761609907,3.708248886982994,0.003451661775375017,1.8246007421722765,0.07945882808067685,10.686936197105968,3.7915694638243225e-07,5.019881248301638,0.0003901162612840932
babylm-baseline-10m-gpt-bert-masked-focus,babylm-baseline-10m-gpt-bert-masked-focus,mlm,12,0.48806341693543503,0.09153818426982317,12,12,0.23076961559463016,0.2154798761609907,10.315444766452595,5.415834331628172e-07,8.58079355243629,1.2365383995776956e-07,11.643307217605718,1.5853282579066122e-07,10.139817315980727,6.434098806061531e-07
babylm-baseline-10m-gpt-bert-mixed,babylm-baseline-10m-gpt-bert-mixed,ar,12,0.2655485757953765,0.04270717787390028,12,12,0.23076961559463016,0.2154798761609907,4.061215746529567,0.001879310704298531,1.8515873138722694,0.07507636256319594,8.769911523398765,2.6987018781869443e-06,5.45837229389163,0.00019831030189886514
babylm-baseline-10m-gpt-bert-mixed,babylm-baseline-10m-gpt-bert-mixed,mlm,12,0.48747460800610853,0.09561466698581672,12,12,0.23076961559463016,0.2154798761609907,9.854318585174799,8.558977230101253e-07,8.27362779588978,2.55059110003128e-07,11.171096269220206,2.419100227080723e-07,9.736517031032625,9.64747153906649e-07
babylm-baseline-10m-gpt2,babylm-baseline-10m-gpt2,ar,12,0.38923518119381306,0.04723927030449387,12,12,0.23076961559463016,0.2154798761609907,12.741645434470097,6.265685425573487e-08,8.057510041707808,1.3780407337485624e-08,21.11122480232646,2.989742844791745e-10,12.779267021600521,6.077250759038365e-08
